angle,intensity
1.000000000000000000e+01,1.817477390128193759e+00
1.002000571591883471e+01,5.240260884817097065e+00
1.004001143183766764e+01,4.193931590059414738e+00
1.006001714775650235e+01,5.735686918387366440e+00
1.008002286367533529e+01,4.387931001249543606e+00
1.010002857959417000e+01,4.526859242042769793e+00
1.012003429551300293e+01,5.306171175418070263e+00
1.014004001143183764e+01,4.513187145395098021e+00
1.016004572735067235e+01,5.026115287230807915e+00
1.018005144326950528e+01,5.061559478149757929e+00
1.020005715918833999e+01,3.665452513342430940e+00
1.022006287510717293e+01,4.258700184139103229e+00
1.024006859102600764e+01,4.484409648280222704e+00
1.026007430694484057e+01,4.622548879493344032e+00
1.028008002286367528e+01,2.690537501389506314e+00
1.030008573878250999e+01,3.074492288238036775e+00
1.032009145470134293e+01,2.304898087044474408e+00
1.034009717062017764e+01,3.117414940878655560e+00
1.036010288653901057e+01,3.385444275405083303e+00
1.038010860245784528e+01,3.129644107124947006e+00
1.040011431837667999e+01,2.061418137253520300e+00
1.042012003429551292e+01,2.363461870105394880e+00
1.044012575021434763e+01,1.693070202573927263e+00
1.046013146613318057e+01,1.835159380366714554e+00
1.048013718205201528e+01,1.869095958899466448e+00
1.050014289797084821e+01,2.205832077500165855e+00
1.052014861388968292e+01,2.527662923361645664e+00
1.054015432980851585e+01,1.651880829981982934e+00
1.056016004572735056e+01,2.476484660627073620e+00
1.058016576164618527e+01,1.195753169628705370e+00
1.060017147756501821e+01,1.394804499740867287e+00
1.062017719348385292e+01,7.797418542280549758e-01
1.064018290940268585e+01,1.000604174052878381e+00
1.066018862532152056e+01,9.549190551191697462e-01
1.068019434124035527e+01,1.946401847954091657e+00
1.070020005715918820e+01,1.379016779594063102e+00
1.072020577307802292e+01,1.199400021258161253e+00
1.074021148899685585e+01,2.220641785210643704e+00
1.076021720491569056e+01,1.836044284179585206e+00
1.078022292083452349e+01,1.227152268027947191e+00
1.080022863675335820e+01,9.795486935324942968e-01
1.082023435267219291e+01,1.017263005189710467e+00
1.084024006859102585e+01,1.823791995940007737e+00
1.086024578450986056e+01,9.869198876986611246e-01
1.088025150042869349e+01,1.849520735013295836e+00
1.090025721634752820e+01,1.358709059590912593e+00
1.092026293226636113e+01,2.512874815491827007e+00
1.094026864818519584e+01,1.003322805738324552e+00
1.096027436410403055e+01,2.248256831708454584e+00
1.098028008002286349e+01,2.167517743038608558e+00
1.100028579594169820e+01,9.231536453470486903e-01
1.102029151186053113e+01,8.769736695918273206e-01
1.104029722777936584e+01,2.693279678875165395e+00
1.106030294369819877e+01,1.544305269617074705e+00
1.108030865961703348e+01,9.775655908089144752e-01
1.110031437553586819e+01,2.833877841274665688e+00
1.112032009145470113e+01,2.557205094057328321e+00
1.114032580737353584e+01,1.941651490084676190e+00
1.116033152329236877e+01,2.046408120365949657e+00
1.118033723921120348e+01,2.715320515618961927e+00
1.120034295513003642e+01,1.299007215567405060e+00
1.122034867104887113e+01,1.383671510704972407e+00
1.124035438696770584e+01,1.665130785984206163e+00
1.126036010288653877e+01,3.003960924949734768e+00
1.128036581880537348e+01,1.750712454057346434e+00
1.130037153472420641e+01,2.966035788258991168e+00
1.132037725064304112e+01,3.153970691262541592e+00
1.134038296656187583e+01,1.435343989557072986e+00
1.136038868248070877e+01,1.400798905049951193e+00
1.138039439839954348e+01,2.255871580068291138e+00
1.140040011431837641e+01,3.301920156231249681e+00
1.142040583023721112e+01,2.365735642659540172e+00
1.144041154615604405e+01,2.201073815676870105e+00
1.146041726207487876e+01,2.242056447141905995e+00
1.148042297799371170e+01,2.982897694429800239e+00
1.150042869391254641e+01,3.516928572255509255e+00
1.152043440983138112e+01,2.181117307427373309e+00
1.154044012575021405e+01,2.820893159922454707e+00
1.156044584166904876e+01,2.954625166499039501e+00
1.158045155758788169e+01,2.399383212078792571e+00
1.160045727350671640e+01,2.784377525119547947e+00
1.162046298942555111e+01,2.902855397103605739e+00
1.164046870534438405e+01,3.329559497883518127e+00
1.166047442126321876e+01,2.385341568172154147e+00
1.168048013718205169e+01,2.410555988251734671e+00
1.170048585310088640e+01,3.767181316211144715e+00
1.172049156901971934e+01,3.242401638892897786e+00
1.174049728493855405e+01,2.849231774247550142e+00
1.176050300085738698e+01,3.462704901424811244e+00
1.178050871677622169e+01,2.526878131197590083e+00
1.180051443269505640e+01,3.951817115891162580e+00
1.182052014861388933e+01,3.083105353444034691e+00
1.184052586453272404e+01,4.513694879046771469e+00
1.186053158045155698e+01,3.933584096559464172e+00
1.188053729637039169e+01,3.851724483120941844e+00
1.190054301228922640e+01,3.619622902834285672e+00
1.192054872820805933e+01,4.934115236296532814e+00
1.194055444412689404e+01,4.923085508651520392e+00
1.196056016004572697e+01,3.388908382844750378e+00
1.198056587596456168e+01,3.659177034884213420e+00
1.200057159188339639e+01,5.209912463933923377e+00
1.202057730780222933e+01,5.405134594547532423e+00
1.204058302372106226e+01,4.914191541625441140e+00
1.206058873963989697e+01,5.662393709796169183e+00
1.208059445555873168e+01,5.420873285427797228e+00
1.210060017147756461e+01,5.658223247392065502e+00
1.212060588739639932e+01,5.711450855800386250e+00
1.214061160331523226e+01,4.908395910762810566e+00
1.216061731923406697e+01,5.659463492389800621e+00
1.218062303515290168e+01,5.799949643609358496e+00
1.220062875107173461e+01,5.258933938689613008e+00
1.222063446699056932e+01,5.088310495950867818e+00
1.224064018290940226e+01,6.885779225938069459e+00
1.226064589882823697e+01,6.693026076948631164e+00
1.228065161474707168e+01,7.002213557774531694e+00
1.230065733066590461e+01,6.054320727574160621e+00
1.232066304658473754e+01,6.762210715145301698e+00
1.234066876250357225e+01,7.418334992071907941e+00
1.236067447842240696e+01,7.277526007016458465e+00
1.238068019434123990e+01,7.944763578003520621e+00
1.240068591026007461e+01,7.855420760990904583e+00
1.242069162617890754e+01,7.892754372077188663e+00
1.244069734209774225e+01,8.199581744999214550e+00
1.246070305801657696e+01,7.291971455709284733e+00
1.248070877393540989e+01,7.947117737982125618e+00
1.250071448985424460e+01,9.044184609151070475e+00
1.252072020577307754e+01,7.774195625561145739e+00
1.254072592169191225e+01,9.449785535358211419e+00
1.256073163761074696e+01,9.242845688302148588e+00
1.258073735352957989e+01,8.977827280633908558e+00
1.260074306944841460e+01,8.505662816564509399e+00
1.262074878536724754e+01,9.136493996613394231e+00
1.264075450128608225e+01,9.398435784112260549e+00
1.266076021720491518e+01,9.744192652858405523e+00
1.268076593312374989e+01,1.092388340784230749e+01
1.270077164904258282e+01,1.054238313057603271e+01
1.272077736496141753e+01,1.105001837788826791e+01
1.274078308088025224e+01,1.113776294349643869e+01
1.276078879679908518e+01,1.103566617962404273e+01
1.278079451271791989e+01,1.095269137994330144e+01
1.280080022863675282e+01,1.214560657818065437e+01
1.282080594455558753e+01,1.279302124517023032e+01
1.284081166047442224e+01,1.160442624299512460e+01
1.286081737639325517e+01,1.250205246492117794e+01
1.288082309231208988e+01,1.194609218167668807e+01
1.290082880823092282e+01,1.381248211034958473e+01
1.292083452414975753e+01,1.404299639836989400e+01
1.294084024006859224e+01,1.338463601351159937e+01
1.296084595598742517e+01,1.459119560431441798e+01
1.298085167190625810e+01,1.390423940654076240e+01
1.300085738782509281e+01,1.479926957369968576e+01
1.302086310374392752e+01,1.448593423256534685e+01
1.304086881966276046e+01,1.565841745793957251e+01
1.306087453558159517e+01,1.525632104474100537e+01
1.308088025150042810e+01,1.563355891744255999e+01
1.310088596741926281e+01,1.518931099489280534e+01
1.312089168333809752e+01,1.569465829296363424e+01
1.314089739925693046e+01,1.624698284223073230e+01
1.316090311517576517e+01,1.718809005263035061e+01
1.318090883109459810e+01,1.693719066207531299e+01
1.320091454701343281e+01,1.730825725877836518e+01
1.322092026293226752e+01,1.754069809349438103e+01
1.324092597885110045e+01,1.671241376754281305e+01
1.326093169476993339e+01,1.685095300525273743e+01
1.328093741068876810e+01,1.720123590496333676e+01
1.330094312660760281e+01,1.732437325092406866e+01
1.332094884252643574e+01,1.805782846005136477e+01
1.334095455844527045e+01,1.685285733997522684e+01
1.336096027436410338e+01,1.647356916094485868e+01
1.338096599028293809e+01,1.720324422887578919e+01
1.340097170620177280e+01,1.671088353756325517e+01
1.342097742212060574e+01,1.754547635900540925e+01
1.344098313803944045e+01,1.659940432485197448e+01
1.346098885395827338e+01,1.719834134760509770e+01
1.348099456987710809e+01,1.738910362547126454e+01
1.350100028579594280e+01,1.585218013762876232e+01
1.352100600171477573e+01,1.718790820480714032e+01
