      Phlogopite-1M
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R040039
      Ferraris G, Gula A, Ivaldi G, Nespolo M, Sokolova E, Uvarova Y, Khomyakov A P
      European Journal of Mineralogy 13 (2001) 1013-1023
      First structure determination of an MDO-2O mica polytype associated with a 1M polytype

      CELL PARAMETERS:   5.305000   9.199000   10.23200   90.00000   100.0300   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 8.94        100.00        9.9963    0   0   1
                17.83          5.54        4.9982    0   0   2
                19.41         13.08        4.5932    0   2   0
                19.61         19.76        4.5460    1   1   0
                20.27          4.17        4.3982   -1   1   1
                22.77         17.90        3.9195    1   1   1
                24.46         44.72        3.6511   -1   1   2
                26.43         65.89        3.3820    0   2   2
                26.83         44.83        3.3321    0   0   3
                28.56         61.53        3.1339    1   1   2
                30.83         43.57        2.9068   -1   1   3
                33.29         20.55        2.6971    0   2   3
                33.99         22.86        2.6427    1   3   0
                33.94         11.48        2.6467   -2   0   1
                34.39         55.63        2.6127   -1   3   1
                34.35         27.50        2.6158    2   0   0
                35.82          6.90        2.5114    1   1   3
                36.00          5.44        2.4991    0   0   4
                35.98          3.74        2.5008    1   3   1
                35.92          1.89        2.5049   -2   0   2
                37.11         51.41        2.4267   -1   3   2
                37.08         25.43        2.4285    2   0   1
                39.29          4.66        2.2966    0   4   0
                39.35          8.41        2.2932   -2   2   1
                39.72          7.97        2.2730    2   2   0
                39.98          1.85        2.2587   -2   0   3
                40.04          3.63        2.2552    1   3   2
                40.36          6.72        2.2383    0   4   1
                41.11          6.04        2.1991   -2   2   2
                41.76         29.89        2.1660   -1   3   3
                41.75         14.86        2.1668    2   0   2
                42.15          4.30        2.1469    2   2   1
                43.42          2.56        2.0869    0   4   2
                45.42         13.64        1.9993    0   0   5
                45.66          6.91        1.9894   -2   0   4
                45.72         13.65        1.9867    1   3   3
                47.89          2.46        1.9017   -1   3   4
                47.88          1.23        1.9020    2   0   3
                50.01          2.01        1.8255   -2   2   4
                52.09          2.66        1.7573    2   2   3
                52.63          1.78        1.7405    1   3   4
                52.68          1.30        1.7392   -3   1   1
                52.83          1.17        1.7346   -2   4   1
                54.30          1.73        1.6910    0   4   4
                54.28          1.58        1.6916    1   5   1
                55.14         30.13        1.6670   -1   3   5
                55.14         15.02        1.6670    2   0   4
                55.10          2.36        1.6680   -1   5   2
                55.08          3.78        1.6686    2   4   1
                56.02          5.93        1.6430   -3   1   3
                56.04          4.45        1.6422    3   1   1
                57.25          4.93        1.6104   -2   4   3
                57.30          5.95        1.6091    1   5   2
                58.63          4.11        1.5757   -1   5   3
                58.61          4.55        1.5761    2   4   2
                60.03          2.12        1.5423   -3   1   4
                60.07          2.10        1.5413    3   1   2
                60.46          6.41        1.5321   -2   0   6
                60.53         12.76        1.5306    1   3   5
                60.51         14.97        1.5311    0   6   0
                60.42         29.85        1.5332   -3   3   1
                61.29          4.19        1.5134    0   6   1
                61.19          4.14        1.5156   -3   3   2
                61.20          4.20        1.5153    3   3   0
                62.24          1.13        1.4926    1   1   6
                63.34          2.73        1.4692   -1   3   6
                63.34          1.37        1.4691    2   0   5
                64.11          1.70        1.4534   -2   2   6
                65.38          1.76        1.4280    0   0   7
                65.50          1.56        1.4259   -1   1   7
                66.90          2.83        1.3993    2   2   5
                68.88          1.25        1.3637    0   2   7
                69.25          8.09        1.3574   -2   0   7
                69.31         16.10        1.3563    1   3   6
                69.76          3.89        1.3486    0   4   6
                71.17          6.26        1.3253   -2   6   1
                71.06          3.09        1.3271   -4   0   1
                71.41          9.61        1.3214    2   6   0
                71.29          4.82        1.3233   -4   0   2
                72.41          1.43        1.3056   -1   3   7
                72.41          4.14        1.3055    0   6   4
                72.30          4.12        1.3073   -3   3   5
                72.66          3.96        1.3018   -2   2   7
                72.35          4.13        1.3065    3   3   3
                73.09          7.00        1.2952    2   6   1
                72.95          3.52        1.2972   -4   0   3
                74.96          3.91        1.2673   -2   6   3
                74.88          1.93        1.2686    4   0   1
                75.78          3.35        1.2557    2   2   6
                76.21          2.52        1.2495    0   0   8
                76.45          1.25        1.2463   -1   7   2
                77.22          1.98        1.2357   -3   5   3
                77.24          1.21        1.2354    3   5   1
                78.32          1.38        1.2211    1   7   2
                78.19          1.94        1.2228    4   2   1
                78.63          1.14        1.2170   -3   3   6
                78.74          1.14        1.2156    0   6   5
                78.96          1.86        1.2127    0   4   7
                79.00          1.21        1.2123    1   3   7
                78.69          1.14        1.2163    3   3   4
                79.46          1.44        1.2064   -1   7   3
                79.31          1.20        1.2083   -4   2   4
                80.56          1.39        1.1927    2   6   3
                86.11          3.67        1.1293   -4   0   6
                86.27          7.35        1.1276    2   6   4
                86.27          7.35        1.1276    2   6   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
