      Pyromorphite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R050085
      Dai Y S, Hughes J M
      The Canadian Mineralogist 27 (1989) 189-192
      Crystal-structure refinements of vanadinite and pyromorphite

      CELL PARAMETERS:   9.9925  9.9925  7.3451   90.000   90.000  120.000
      SPACE GROUP: P6_3/m    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Pb     0.33333   0.66667   0.00480     1.000     0.675
            Pb     0.25429   0.00536   0.25000     1.000     0.846
            P      0.41040   0.37870   0.25000     1.000     0.376
            O      0.34300   0.49000   0.25000     1.000     0.253
            O      0.59000   0.47500   0.25000     1.000     0.174
            O      0.35900   0.27400   0.08400     1.000     0.363
            Cl     0.00000   0.00000   0.00000     1.000     0.300

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  7 +/-  7 +/-  6
            MAX. ABS. INTENSITY / VOLUME**2:      169.3288250    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.75          9.53        4.9963    1   1   0
                20.53         28.27        4.3269    2   0   0
                21.51         44.38        4.1311    1   1   1
                23.87          1.96        3.7281    2   0   1
                24.23          6.66        3.6725    0   0   2
                26.36         30.01        3.3807    1   0   2
                27.27         15.86        3.2708    1   2   0
                27.27         19.72        3.2708    2   1   0
                29.90         41.12        2.9880    1   2   1
                29.90         50.39        2.9880    2   1   1
                30.20        100.00        2.9591    1   1   2
                31.00         53.69        2.8846    3   0   0
                35.95          2.73        2.4981    2   2   0
                36.80          1.19        2.4425    1   2   2
                39.73          6.02        2.2685    3   0   2
                41.05         15.55        2.1986    1   1   3
                41.75          6.13        2.1634    4   0   0
                43.83         37.39        2.0656    2   2   2
                45.13         12.00        2.0091    3   1   2
                45.13          8.36        2.0091    1   3   2
                45.70          7.12        1.9853    2   3   0
                45.70          2.60        1.9853    3   2   0
                46.32         15.10        1.9601    1   2   3
                46.32         12.08        1.9601    2   1   3
                47.44         13.88        1.9165    2   3   1
                47.44          9.61        1.9165    3   2   1
                48.19          9.72        1.8884    1   4   0
                48.19         14.84        1.8884    4   1   0
                48.86         31.15        1.8641    4   0   2
                49.65         12.68        1.8363    0   0   4
                53.14          2.09        1.7236    1   1   4
                54.27          3.62        1.6904    2   0   4
                54.65          2.98        1.6794    1   4   2
                54.65          1.68        1.6794    4   1   2
                55.15          1.19        1.6654    3   3   0
                56.25          3.58        1.6354    2   4   0
                56.25          2.12        1.6354    4   2   0
                56.67          5.81        1.6242    3   3   1
                57.56          6.13        1.6012    1   2   4
                57.56          3.76        1.6012    2   1   4
                59.00          5.30        1.5656    5   0   2
                59.47          1.53        1.5543    1   5   0
                59.47          2.56        1.5543    5   1   0
                59.69         12.96        1.5490    3   0   4
                59.99          3.37        1.5421    2   3   3
                59.99          5.85        1.5421    3   2   3
                60.93          4.21        1.5206    1   5   1
                60.93          6.30        1.5206    5   1   1
                61.10         10.74        1.5167    3   3   2
                62.80          1.08        1.4796    2   2   4
                66.32          2.12        1.4094    1   1   5
                66.83          3.26        1.4000    4   0   4
                67.61          1.09        1.3857    2   5   0
                68.09          2.59        1.3770    3   3   3
                68.96          1.91        1.3617    2   5   1
                68.96          3.47        1.3617    5   2   1
                69.76          1.25        1.3481    3   2   4
                69.76          2.87        1.3481    2   3   4
                70.09          7.28        1.3425    6   0   2
                70.24          2.55        1.3401    1   2   5
                70.24          4.51        1.3401    2   1   5
                71.06          4.51        1.3266    3   4   2
                71.06          1.49        1.3266    4   3   2
                71.49          1.42        1.3197    1   6   0
                71.49          1.17        1.3197    6   1   0
                71.69          7.71        1.3165    4   1   4
                71.69          6.35        1.3165    1   4   4
                71.96          2.79        1.3122    1   5   3
                71.96          2.81        1.3122    5   1   3
                72.81          2.61        1.2989    1   6   1
                72.81          1.63        1.2989    6   1   1
                72.97          6.90        1.2965    2   5   2
                72.97          5.84        1.2965    5   2   2
                76.22          2.32        1.2491    4   4   0
                78.28          2.42        1.2213    2   4   4
                78.28          2.61        1.2213    4   2   4
                78.99          1.35        1.2121    1   0   6
                79.47          2.60        1.2060    5   2   3
                79.47          1.22        1.2060    2   5   3
                80.84          5.97        1.1890    1   1   6
                81.06          1.55        1.1863    1   5   4
                81.06          2.27        1.1863    5   1   4
                81.51          1.34        1.1809    3   2   5
                81.51          2.96        1.1809    2   3   5
                82.29          1.94        1.1717    7   0   2
                82.29          1.05        1.1717    3   5   2
                83.15          1.38        1.1617    1   6   3
                83.15          1.03        1.1617    6   1   3
                88.82          1.48        1.1017    3   3   5
                89.06          4.26        1.0993    2   2   6
                89.97          1.12        1.0905    3   1   6
                89.97          1.39        1.0905    1   3   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
