      Polylithionite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050132
      Swanson T H, Bailey S W
      Clays and Clay Minerals 29 (1981) 81-90
      Redetermination of the lepidolite-2M_1 structure
      Locality: Bikupice, Czech Republic

      CELL PARAMETERS:   5.199000   9.026000   19.96900   90.00000   95.41000   90.00000
      SPACE GROUP: C2/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 8.90         44.89        9.9789    0   0   2
                17.81         40.16        4.9895    0   0   4
                19.84         31.75        4.4832    1   1   0
                19.96         38.21        4.4549   -1   1   1
                20.25         15.20        4.3923    0   2   1
                20.70          2.53        4.2977    1   1   1
                21.68          2.92        4.1043    0   2   2
                22.44         11.44        3.9669    1   1   2
                23.00         29.10        3.8715   -1   1   3
                23.89         55.30        3.7289    0   2   3
                24.89         10.15        3.5811    1   1   3
                25.60         77.98        3.4833   -1   1   4
                26.69         41.05        3.3428    0   2   4
                26.83         48.08        3.3263    0   0   6
                27.87         82.87        3.2037    1   1   4
                28.69         16.20        3.1138   -1   1   5
                29.94         74.88        2.9869    0   2   5
                31.25         32.18        2.8642    1   1   5
                32.15         41.00        2.7856   -1   1   6
                33.51          3.24        2.6754    0   2   6
                34.65         63.05        2.5904   -1   3   1
                34.73         31.80        2.5847    2   0   0
                34.93         15.09        2.5701    1   1   6
                35.03         33.34        2.5630   -2   0   2
                35.09         66.66        2.5583    1   3   1
                35.90          5.78        2.5028   -1   1   7
                36.02          5.90        2.4947    0   0   8
                36.56         25.06        2.4591   -1   3   3
                36.77         12.99        2.4453    2   0   2
                37.35          3.92        2.4088    0   2   7
                37.63         18.56        2.3915   -2   0   4
                37.83         41.98        2.3794    1   3   3
                40.06          2.64        2.2514    0   4   0
                40.11         11.81        2.2486   -2   2   1
                40.24          3.09        2.2416    2   2   0
                40.33          8.61        2.2372    0   4   1
                40.51          2.47        2.2275   -2   2   2
                40.54          1.24        2.2262   -1   3   5
                40.90          9.95        2.2071    2   2   1
                41.11          3.84        2.1962    0   4   2
                41.42          9.65        2.1804   -2   2   3
                42.06          3.14        2.1489    2   2   2
                42.16         16.46        2.1440   -2   0   6
                42.40          5.88        2.1326    0   4   3
                42.46         33.47        2.1294    1   3   5
                43.69          5.65        2.0723    2   2   3
                44.14          4.22        2.0521    0   4   4
                44.68          3.05        2.0285   -2   2   5
                45.45         34.12        1.9958    0   0  10
                46.14         14.56        1.9677   -1   3   7
                46.55          7.87        1.9515    2   0   6
                48.85          2.08        1.8645    0   4   6
                49.58          2.10        1.8388   -2   2   7
                51.74          2.55        1.7669    0   4   7
                52.55          2.29        1.7417   -2   2   8
                52.99         14.22        1.7281   -1   3   9
                53.46          6.00        1.7140    2   0   8
                53.91          2.23        1.7008    1   5   0
                54.02          2.28        1.6976    2   4   0
                54.09          1.45        1.6954   -3   1   2
                54.13          2.01        1.6944    2   2   7
                54.96          1.33        1.6706   -2   4   3
                55.48          2.57        1.6563    2   4   2
                55.37         18.09        1.6593   -2   0  10
                55.66          1.98        1.6512   -3   1   4
                55.82         36.14        1.6470    1   3   9
                55.96          4.18        1.6430    3   1   2
                56.10          2.93        1.6393   -2   4   4
                56.61          9.40        1.6257   -1   5   4
                56.81          3.77        1.6204    2   4   3
                57.05          4.58        1.6143   -3   1   5
                57.44          3.79        1.6041    3   1   3
                57.63          9.21        1.5993   -2   4   5
                57.83          5.62        1.5944    1   5   4
                58.28          1.57        1.5830   -1   5   5
                58.82          4.32        1.5699   -3   1   6
                59.30          8.01        1.5583    3   1   4
                59.54          3.71        1.5526   -2   4   6
                59.77          2.18        1.5470    1   5   5
                60.32          4.47        1.5343   -1   5   6
                60.61          3.18        1.5276    2   4   5
                60.85         12.67        1.5223   -1   3  11
                61.02          1.72        1.5183    1   1  12
                61.37          5.62        1.5105    2   0  10
                61.80         19.49        1.5009    0   6   0
                61.86         39.79        1.4996   -3   3   1
                62.07          2.52        1.4952    1   5   6
                62.58          2.43        1.4842    0   6   2
                62.54          2.25        1.4850   -3   3   3
                62.73          2.65        1.4810    3   3   1
                63.03          1.94        1.4746    2   4   6
                63.15          1.46        1.4720   -2   2  11
                63.51          2.00        1.4646   -2   0  12
                64.01          3.78        1.4543    1   3  11
                64.07          2.75        1.4531    0   2  13
                65.13          2.22        1.4321    2   2  10
                65.94          1.26        1.4164    1   1  13
                66.13          3.12        1.4127    0   4  11
                67.21          1.97        1.3927   -1   1  14
                69.29          6.18        1.3557    2   2  11
                69.60         20.88        1.3505   -1   3  13
                70.18         10.22        1.3408    2   0  12
                70.36          5.11        1.3377    0   4  12
                71.03          1.22        1.3267    1   1  14
                71.49          6.85        1.3193   -2   2  13
                72.86         12.48        1.2979    2   6   0
                72.87          6.64        1.2977   -4   0   2
                72.54          1.16        1.3027   -2   0  14
                73.04         11.66        1.2952   -2   6   2
                73.22          5.65        1.2923    4   0   0
                73.10          2.53        1.2941    1   3  13
                73.34          6.00        1.2905   -3   3   9
                73.64          5.55        1.2861    0   6   8
                74.03          6.00        1.2802    3   3   7
                74.64          6.58        1.2713   -2   6   4
                74.99          3.80        1.2661    4   0   2
                74.84          4.29        1.2684    0   4  13
                76.29          1.73        1.2478   -1   7   1
                76.35          1.03        1.2470   -4   2   1
                76.03          1.83        1.2514   -2   2  14
                76.42          2.01        1.2460   -4   0   6
                76.74          3.96        1.2415    2   6   4
                76.32          2.91        1.2474    0   0  16
                77.97          2.32        1.2250    3   5   2
                78.21          1.36        1.2218    1   7   3
                78.45          3.26        1.2187   -4   2   5
                78.37          3.18        1.2198    2   2  13
                79.56          2.56        1.2045    1   7   4
                79.27          1.25        1.2081   -1   3  15
                79.83          1.30        1.2011    4   2   3
                79.58          3.27        1.2042   -3   3  11
