      Epidote
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern R050191
      Dollase W A
      American Mineralogist 56 (1971) 447-464
      Refinement of the crystal structures of epidote, allanite and hancockite

      CELL PARAMETERS:   8.901217   5.637476   10.16440   90.00000   115.4060   90.00000
      SPACE GROUP: P2_1/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.65          1.59        9.1814    0   0   1
                11.02          3.41        8.0404    1   0   0
                11.11          4.54        7.9789   -1   0   1
                17.51          1.70        5.0667    1   0   1
                17.68         28.06        5.0206   -1   0   2
                19.24          2.73        4.6159    1   1   0
                19.29          4.17        4.6042   -1   1   1
                22.12         20.60        4.0202    2   0   0
                22.29         19.74        3.9895   -2   0   2
                23.62          5.41        3.7684    1   1   1
                23.74          2.93        3.7493   -1   1   2
                25.50         35.46        3.4931   -2   1   1
                26.16         10.84        3.4067    1   0   2
                27.78         10.28        3.2111    2   0   1
                29.18          2.88        3.0605    0   0   3
                30.57         13.55        2.9244   -3   0   2
                30.66          1.10        2.9157    1   1   2
                30.82        100.00        2.9010   -1   1   3
                31.74         41.02        2.8187    0   2   0
                32.08          7.25        2.7902    2   1   1
                32.32          4.40        2.7696   -2   1   3
                33.31         31.95        2.6897    0   1   3
                33.43         18.45        2.6801    3   0   0
                33.69         20.43        2.6600    1   2   0
                34.46         43.84        2.6022   -3   1   1
                34.55          1.67        2.5959   -3   1   2
                35.43         17.77        2.5333    2   0   2
                35.77          2.71        2.5096   -1   0   4
                36.55          8.42        2.4579   -1   2   2
                37.14          1.18        2.4205    3   1   0
                37.38         31.19        2.4054   -3   1   3
                37.43         24.20        2.4021    0   2   2
                37.77          4.29        2.3813   -2   2   1
                38.97          1.97        2.3107    2   1   2
                39.11          5.47        2.3029    1   1   3
                39.12         10.38        2.3021   -2   2   2
                39.21          1.38        2.2970   -3   0   4
                39.28          4.49        2.2932   -2   1   4
                39.29          2.56        2.2927   -1   1   4
                41.66         16.74        2.1674   -4   0   1
                41.70          7.70        2.1656   -1   2   3
                41.86          1.27        2.1578   -4   0   3
                42.51          1.37        2.1259    0   1   4
                42.67         16.58        2.1184    2   2   1
                42.86         18.01        2.1093   -2   2   3
                43.64         14.36        2.0733    0   2   3
                44.21          7.16        2.0482    2   0   3
                44.57          2.60        2.0325   -3   2   1
                45.09          6.08        2.0101    4   0   0
                45.70          1.49        1.9845   -1   0   5
                46.41          1.48        1.9558   -3   0   5
                46.96          1.12        1.9344   -3   2   3
                47.20          4.79        1.9251    2   1   3
                48.29         10.59        1.8842    2   2   2
                48.40          1.46        1.8799    1   2   3
                48.43          3.15        1.8790    1   1   4
                48.55         12.80        1.8747   -2   2   4
                48.56          5.96        1.8744   -1   2   4
                48.62          3.30        1.8719   -1   1   5
                48.85          3.59        1.8638    3   1   2
                49.82          1.54        1.8298    1   3   0
                50.98          1.38        1.7908    3   2   1
                51.31          1.66        1.7799    0   2   4
                51.51          4.76        1.7735   -5   0   2
                52.36          2.09        1.7466   -4   2   2
                52.38          2.58        1.7460    0   1   5
