      Muscovite-2M1
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern R050198
      Brigatti M F, Frigieri P, Poppi L
      American Mineralogist 83 (1998) 775-785
      Crystal chemistry of Mg-, Fe-bearing muscovites-2M1
      Sample RA1 from a pegmatite on Antarctica

      CELL PARAMETERS:   5.213241   9.044142   19.94462   90.00000   95.75243   90.00000
      SPACE GROUP: C2/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 8.95        100.00        9.9221    0   0   2
                17.91         23.18        4.9610    0   0   4
                19.66          5.01        4.5221    0   2   0
                19.76         35.61        4.4995    1   1   0
                19.88         88.39        4.4728   -1   1   1
                20.17         11.31        4.4090    0   2   1
                20.64         21.25        4.3081    1   1   1
                21.62         20.08        4.1149    0   2   2
                22.42          9.35        3.9701    1   1   2
                22.94         55.88        3.8806   -1   1   3
                23.86         56.58        3.7331    0   2   3
                24.91          3.40        3.5785    1   1   3
                25.57         77.44        3.4872   -1   1   4
                26.70         53.98        3.3420    0   2   4
                26.98         71.09        3.3074    0   0   6
                27.93         73.20        3.1974    1   1   4
                28.69          6.69        3.1137   -1   1   5
                29.98         74.58        2.9829    0   2   5
                31.34         48.96        2.8558    1   1   5
                32.18         39.00        2.7829   -1   1   6
                34.42          4.13        2.6065    1   3   0
                34.49         31.86        2.6012   -1   3   1
                34.60         16.22        2.5935    2   0   0
                35.06         11.46        2.5608    1   1   6
                34.88         52.58        2.5731   -2   0   2
                34.96         92.82        2.5676    1   3   1
                35.96          7.04        2.4985   -1   1   7
                36.23          8.85        2.4805    0   0   8
                36.42         21.37        2.4677   -1   3   3
                36.70         10.97        2.4498    2   0   2
                37.45          3.51        2.4019    0   2   7
                37.50         15.08        2.3992   -2   0   4
                37.74         36.93        2.3844    1   3   3
                39.95          9.00        2.2575   -2   2   1
                40.09          4.08        2.2498    2   2   0
                40.15          4.05        2.2465    0   4   1
                40.44          9.18        2.2308   -1   3   5
                40.86          3.60        2.2093    2   0   4
                40.76          8.98        2.2140    2   2   1
                40.95          6.59        2.2045    0   4   2
                41.26          9.51        2.1887   -2   2   3
                41.95          2.85        2.1540    2   2   2
                42.07         19.87        2.1481   -2   0   6
                42.25          3.91        2.1395    0   4   3
                42.45         41.38        2.1300    1   3   5
                43.61          5.52        2.0756    2   2   3
                44.02          8.93        2.0574    0   4   4
                44.54          3.29        2.0345   -2   2   5
                45.73         30.14        1.9844    0   0  10
                45.71          1.01        1.9850    2   2   4
                46.11         22.41        1.9688   -1   3   7
                46.62         11.58        1.9482    2   0   6
                46.83          2.45        1.9403   -2   2   6
                48.16          2.24        1.8897   -2   0   8
                48.63          2.77        1.8723    1   3   7
                48.79          2.91        1.8665    0   4   6
                49.43          1.62        1.8438   -1   3   8
                50.21          1.08        1.8172    0   2  10
                51.71          1.44        1.7677    0   4   7
                52.48          3.83        1.7436   -2   2   8
                53.02          1.08        1.7271   -1   1  11
                53.03         12.35        1.7268   -1   3   9
                53.62          4.84        1.7091    2   0   8
                53.66          1.14        1.7080    1   5   0
                53.78          3.67        1.7043    2   4   0
                54.20          1.95        1.6921    2   2   7
                54.04          1.08        1.6969    1   5   1
                54.44          4.11        1.6853   -3   1   3
                54.72          2.28        1.6773   -2   4   3
                55.40         16.91        1.6583   -2   0  10
                55.28          5.47        1.6615    2   4   2
                55.96         34.34        1.6431    1   3   9
                55.81          5.26        1.6472    3   1   2
                55.87          4.69        1.6455   -2   4   4
                56.05          2.52        1.6407    1   5   3
                56.39          9.98        1.6316   -1   5   4
                56.65          1.96        1.6247    2   4   3
                56.82          8.46        1.6201   -3   1   5
                57.32          3.92        1.6072    3   1   3
                57.41          7.09        1.6048   -2   4   5
                57.65          3.26        1.5987    2   2   8
                57.65          4.19        1.5988    1   5   4
                58.60          2.90        1.5750   -3   1   6
                59.35          2.74        1.5569   -2   2  10
                59.21          7.40        1.5603    3   1   4
                59.33          4.31        1.5573   -2   4   6
                59.63          2.25        1.5504    1   5   5
                60.14          3.97        1.5384   -1   5   6
                60.51          2.33        1.5299    2   4   5
                60.96         18.76        1.5196   -1   3  11
                61.38          1.77        1.5102    1   1  12
                61.62          7.90        1.5049    2   0  10
                61.51         19.56        1.5074    0   6   0
                61.59         41.66        1.5054   -3   3   1
                61.70          1.87        1.5030    0   6   1
                61.96          2.77        1.4975    1   5   6
                62.24          1.23        1.4915    0   4  10
                62.26          1.53        1.4909   -3   3   3
                62.29          2.25        1.4903    0   6   2
                62.49          2.85        1.4859    3   3   1
                63.19          1.06        1.4712   -2   2  11
                62.96          3.32        1.4759    2   4   6
                63.61          2.20        1.4624   -2   0  12
                64.24          4.84        1.4496    1   3  11
                64.41          2.94        1.4463    0   2  13
                64.62          1.17        1.4421    1   5   7
                65.34          4.49        1.4279    2   2  10
                65.88          1.96        1.4174    0   0  14
                66.34          1.27        1.4088    1   1  13
                66.04          1.34        1.4144   -3   1   9
                66.26          1.61        1.4102    0   4  11
                67.52          1.66        1.3869   -1   1  14
                67.15          1.14        1.3936   -2   4   9
                68.12          1.84        1.3761   -3   3   7
                68.38          1.38        1.3716    0   6   6
                69.55          4.37        1.3512    2   2  11
                69.80         23.20        1.3471   -1   3  13
                70.52         10.80        1.3350    2   0  12
                70.54          7.38        1.3348    0   4  12
                71.48          1.22        1.3195    1   1  14
                71.60          4.80        1.3175   -2   2  13
                72.71          1.10        1.3002   -1   1  15
                72.41          1.99        1.3047   -2   6   1
                72.54          3.10        1.3027   -4   0   2
                72.51          4.44        1.3032    2   6   0
                72.68         11.04        1.3006   -2   6   2
                73.43          1.46        1.2892    1   3  13
                72.93          5.62        1.2967    4   0   0
