      Beryl
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050305
      Aurisicchio C, Fioravanti G, Grubessi O, Zanazzi P F
      American Mineralogist 73 (1988) 826-837
      Reappraisal of the crystal chemistry of beryl
      Sample: 24
      Note: U(1,2) for Na altered to match symmetry constraints.

      CELL PARAMETERS:   9.236700   9.236700   9.190300   90.00000   90.00000   120.0000
      SPACE GROUP: P6/mcc
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                11.15         96.32        7.9856    1   0   0
                19.32          1.18        4.6105    1   1   0
                19.32         44.21        4.6107    0   0   2
                22.33          3.14        3.9928    2   0   0
                22.33         43.01        3.9929    1   0   2
                27.41         81.96        3.2602    1   1   2
                29.65          9.36        3.0183    2   1   0
                29.65         16.13        3.0183    2   0   2
                31.23        100.00        2.8685    2   1   1
                33.72          3.16        2.6619    3   0   0
                35.60         29.18        2.5253    2   1   2
                39.12          9.33        2.3053    0   0   4
                40.78          4.14        2.2148    3   1   0
                40.78          3.42        2.2149    1   0   4
                42.00          7.21        2.1535    3   1   1
                42.00          1.28        2.1536    2   1   3
                43.95          1.27        2.0619    1   1   4
                45.47          2.58        1.9964    4   0   0
                45.47          4.85        1.9964    3   1   2
                45.47          7.40        1.9965    2   0   4
                49.81          2.46        1.8320    3   2   0
                50.85         10.86        1.7969    3   1   3
                52.55         11.87        1.7426    4   1   0
                52.55         15.20        1.7426    3   0   4
                53.55          9.00        1.7123    4   1   1
                56.48          1.39        1.6301    4   1   2
                56.48         15.89        1.6301    2   2   4
                57.75          4.68        1.5971    5   0   0
                57.75          1.38        1.5971    3   1   4
                58.69          6.05        1.5737    3   2   3
                58.69          2.99        1.5737    2   1   5
                60.24          5.36        1.5369    0   0   6
                61.16         15.74        1.5159    4   1   3
                61.46          1.97        1.5091    4   2   0
                63.87          4.47        1.4580    3   3   2
                63.86          4.72        1.4580    1   1   6
                65.05          7.25        1.4343    4   2   2
                65.05          4.73        1.4343    3   2   4
                68.53          4.93        1.3695    5   1   2
                68.53          5.15        1.3696    2   1   6
                72.77          1.15        1.2997    3   2   5
                74.16          4.48        1.2787    5   2   0
                74.16          8.98        1.2787    6   0   2
                74.16          1.69        1.2788    2   2   6
                74.99          8.12        1.2666    5   2   1
                74.99          5.10        1.2666    4   1   5
                75.27          4.81        1.2626    4   2   4
                75.27          2.35        1.2627    3   1   6
                78.55          1.22        1.2178    6   1   0
                78.55          1.07        1.2178    5   1   4
                79.37          7.27        1.2073    4   3   3
                79.37          7.16        1.2074    2   1   7
                81.53          1.65        1.1806    5   2   3
                83.95          1.90        1.1526    6   0   4
                83.95          3.65        1.1527    0   0   8
                85.02          2.60        1.1408    4   3   4
                87.16          4.29        1.1182    5   2   4
                87.16          4.29        1.1182    5   2   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
