      Barite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050342
      Colville A A, Staudhammer K
      American Mineralogist 52 (1967) 1877-1880
      A refinement of the structure of barite
      from Cow Green mine

      CELL PARAMETERS:   8.882447   5.453739   7.156995   90.00000   90.00000   90.00000
      SPACE GROUP: Pnma
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                15.95          2.15        5.5730    1   0   1
                20.04         14.04        4.4412    2   0   0
                20.52         32.02        4.3378    0   1   1
                22.86         51.07        3.8979    1   1   1
                23.62          9.61        3.7737    2   0   1
                24.92         24.75        3.5785    0   0   2
                25.91         98.44        3.4438    2   1   0
                26.90         65.42        3.3193    1   0   2
                28.81        100.00        3.1032    2   1   1
                31.59         51.59        2.8354    1   1   2
                32.77         10.49        2.7359    3   0   1
                32.88         46.83        2.7269    0   2   0
                36.23         14.58        2.4814    2   1   2
                36.78          1.24        2.4455    3   1   1
                38.78         15.22        2.3238    2   2   0
                39.12          5.09        2.3040    1   0   3
                39.53          7.43        2.2812    3   0   2
                40.66          1.18        2.2206    4   0   0
                40.85         26.97        2.2102    2   2   1
                41.67          3.11        2.1689    0   2   2
                42.62         46.59        2.1224    1   1   3
                42.65         36.95        2.1209    4   0   1
                42.95         52.19        2.1070    1   2   2
                43.00         40.95        2.1045    3   1   2
                43.06          1.94        2.1016    2   0   3
                44.05         20.62        2.0567    4   1   0
                46.62          1.28        1.9489    2   2   2
                47.07          8.00        1.9314    3   2   1
                49.06         19.71        1.8577    3   0   3
                51.06          4.34        1.7892    0   0   4
                51.91          5.69        1.7620    0   3   1
                52.02          6.22        1.7585    3   1   3
                52.16          5.25        1.7540    1   0   4
                53.00          4.39        1.7283    1   3   1
                53.13          2.62        1.7242    5   0   1
                54.56          7.93        1.6824    2   3   0
                54.85         16.69        1.6741    4   2   1
                55.01          4.00        1.6698    1   1   4
                55.37          1.92        1.6596    2   0   4
                55.94          1.37        1.6440    5   1   1
                56.17         10.64        1.6378    2   3   1
                57.84          9.82        1.5944    1   3   2
                57.97          1.89        1.5912    5   0   2
                58.11          3.04        1.5877    2   1   4
                60.29         20.41        1.5353    3   2   3
                60.63          9.46        1.5275    5   1   2
                60.85          1.89        1.5225    2   3   2
                62.04          3.74        1.4960    0   2   4
                63.02          9.98        1.4752    1   2   4
                63.06          4.25        1.4743    3   1   4
                63.88          4.95        1.4573    5   2   1
                65.31          5.05        1.4287    6   1   0
                65.39          9.67        1.4272    1   3   3
                65.51          5.31        1.4248    5   0   3
                65.68          9.99        1.4217    3   3   2
                65.88          2.61        1.4177    2   2   4
                66.47          6.52        1.4067    4   3   0
                66.77          9.90        1.4011    6   1   1
                67.67          5.57        1.3845    0   1   5
                68.00          5.17        1.3786    5   1   3
                68.86          6.96        1.3634    0   4   0
                68.92          2.47        1.3624    2   0   5
                69.65          5.95        1.3499    4   1   4
                71.04          1.24        1.3269    6   1   2
                71.35          6.21        1.3218    2   1   5
                72.52          1.04        1.3034    2   4   0
                72.67          2.84        1.3010    6   2   0
                72.78          3.51        1.2993    3   3   3
                73.90          1.33        1.2823    2   4   1
                74.05          1.18        1.2801    6   2   1
                74.46          1.58        1.2741    0   4   2
                75.24         11.83        1.2628    5   2   3
                75.28          2.55        1.2623    1   3   4
                75.35          6.47        1.2612    1   4   2
                75.85          1.06        1.2542    3   1   5
                77.74          2.48        1.2283    5   1   4
                77.93          1.20        1.2257    2   3   4
                78.34          1.76        1.2203    3   4   1
                78.46          5.10        1.2187    2   2   5
                78.53          1.12        1.2179    7   1   1
                79.68          5.16        1.2031    4   0   5
                80.14          3.18        1.1973    5   3   2
                80.25          4.34        1.1960    7   0   2
                80.51          2.45        1.1928    0   0   6
                82.31          1.94        1.1712    3   3   4
                82.57          1.25        1.1682    7   1   2
                84.35          2.26        1.1479    6   3   0
                84.45          7.83        1.1469    4   4   1
                85.69          3.62        1.1334    6   3   1
                86.28          4.31        1.1271    2   1   6
                86.52          3.05        1.1246    0   3   5
                86.83          3.09        1.1214    5   3   3
                87.92          2.91        1.1103    8   0   0
                88.37          3.14        1.1058    4   3   4
                88.88          5.82        1.1007    4   2   5
                89.04          6.17        1.0992    3   4   3
                89.22          4.34        1.0974    7   1   3
                89.45          5.37        1.0952    7   2   2
                89.70          2.26        1.0928    0   2   6
                89.70          2.26        1.0928    0   2   6
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
