      Enargite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050373
      Adiwidjaja G, Lohn J
      Acta Crystallographica B26 (1970) 1878-1879
      Strukturverfeinerung von enargit, Cu3AsS4
      Locality: Butte, Montana, USA

      CELL PARAMETERS:   7.407000   6.436000   6.154000   90.00000   90.00000   90.00000
      SPACE GROUP: Pmn2_1
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                13.84          1.08        6.4294    0   1   0
                18.32          1.71        4.8587    1   1   0
                18.79          2.05        4.7368    1   0   1
                27.80         41.67        3.2147    0   2   0
                27.82         85.06        3.2130    2   1   0
                29.07         78.85        3.0773    0   0   2
                31.44         46.08        2.8494    0   2   1
                31.46        100.00        2.8482    2   1   1
                40.62         14.77        2.2230    0   2   2
                40.63         29.32        2.2224    2   1   2
                44.01          1.22        2.0590    1   3   0
                49.12         57.43        1.8557    2   3   0
                49.15         29.45        1.8547    4   0   0
                52.97         30.26        1.7294    0   2   3
                52.98         61.41        1.7291    2   1   3
                57.34          4.13        1.6074    0   4   0
                57.38          8.43        1.6065    4   2   0
                58.06         34.75        1.5891    2   3   2
                58.09         17.85        1.5885    4   0   2
                59.45          7.09        1.5552    0   4   1
                59.49         12.46        1.5544    4   2   1
                60.16          2.35        1.5387    0   0   4
                65.53          2.72        1.4247    0   4   2
                65.56          5.80        1.4241    4   2   2
                67.50          1.05        1.3879    0   2   4
                67.50          1.28        1.3877    2   1   4
                75.08          8.61        1.2653    0   4   3
                75.11         17.71        1.2648    4   2   3
                78.77          2.58        1.2150    2   5   0
                78.79          2.75        1.2147    4   4   0
                78.82          2.87        1.2142    6   1   0
                80.59          3.63        1.1920    2   5   1
                80.61          4.81        1.1917    4   4   1
                80.65          4.61        1.1912    6   1   1
                81.21          3.05        1.1845    2   3   4
                81.23          1.55        1.1842    4   0   4
                84.22          5.51        1.1495    0   2   5
                84.23         10.85        1.1495    2   1   5
                86.02          2.28        1.1301    2   5   2
                86.04          2.22        1.1298    4   4   2
                86.07          2.34        1.1295    6   1   2
                86.07          2.34        1.1295    6   1   2
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
