      Vanadinite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050376
      Trotter J, Barnes W H
      The Canadian Mineralogist 6 (1958) 161-173
      The structure of vanadinite

      CELL PARAMETERS:   10.32542   10.32542   7.344010   90.00000   90.00000   120.0000
      SPACE GROUP: P6_3/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.93          2.01        8.9421    1   0   0
                17.20          8.91        5.1627    1   1   0
                19.88         25.16        4.4710    2   0   0
                21.06         34.62        4.2235    1   1   1
                23.32          2.97        3.8190    2   0   1
                24.26          6.84        3.6720    0   0   2
                26.26         26.95        3.3968    1   0   2
                26.39         14.39        3.3798    1   2   0
                26.39         19.26        3.3798    2   1   0
                29.10         46.19        3.0703    1   2   1
                29.10         53.81        3.0703    2   1   1
                29.88         91.58        2.9923    1   1   2
                30.00         55.19        2.9807    3   0   0
                32.43          1.16        2.7619    3   0   1
                34.77          1.99        2.5814    2   2   0
                36.13          1.96        2.4868    1   2   2
                38.32          1.40        2.3497    1   3   1
                38.93          4.43        2.3142    3   0   2
                40.35          4.94        2.2355    4   0   0
                40.80          9.69        2.2119    1   1   3
                42.83         34.74        2.1118    2   2   2
                44.07          5.09        2.0552    1   3   2
                44.07         12.68        2.0552    3   1   2
                44.15          7.44        2.0515    2   3   0
                45.77         15.11        1.9826    1   2   3
                45.77         10.38        1.9826    2   1   3
                45.93         14.66        1.9758    2   3   1
                45.93          7.34        1.9758    3   2   1
                46.54          7.87        1.9513    1   4   0
                46.54         14.76        1.9513    4   1   0
                47.62         28.36        1.9095    4   0   2
                49.65         12.81        1.8360    0   0   4
                50.99          1.20        1.7909    3   2   2
                52.93          1.08        1.7299    1   1   4
                53.15          3.43        1.7231    1   4   2
                53.15          1.78        1.7231    4   1   2
                53.98          3.19        1.6984    2   0   4
                54.28          2.94        1.6899    2   4   0
                54.28          2.28        1.6899    4   2   0
                54.78          5.47        1.6755    3   3   1
                57.08          3.98        1.6133    1   2   4
                57.08          3.61        1.6133    2   1   4
                57.29          6.62        1.6079    5   0   2
                57.36          1.47        1.6060    1   5   0
                57.36          2.39        1.6060    5   1   0
                58.71          3.86        1.5723    2   3   3
                58.71          3.92        1.5723    3   2   3
                58.85          3.44        1.5690    1   5   1
                58.85          5.23        1.5690    5   1   1
                59.08         12.40        1.5632    3   0   4
                59.29          9.36        1.5583    3   3   2
                65.13          1.21        1.4319    2   5   0
                65.81          2.32        1.4188    4   0   4
                66.12          1.18        1.4127    1   1   5
                66.38          2.79        1.4078    3   3   3
                66.51          1.23        1.4054    2   5   1
                66.51          3.89        1.4054    5   2   1
                67.85          5.91        1.3809    6   0   2
                68.57          2.85        1.3681    2   3   4
                68.76          3.86        1.3648    3   4   2
                68.83          1.85        1.3637    1   6   0
                69.80          2.27        1.3471    1   2   5
                69.80          3.90        1.3471    2   1   5
                70.05          2.42        1.3428    1   5   3
                70.05          2.01        1.3428    5   1   3
                70.17          2.21        1.3407    1   6   1
                70.39          3.98        1.3372    1   4   4
                70.39          6.48        1.3372    4   1   4
                70.58          4.55        1.3340    2   5   2
                70.58          4.64        1.3340    5   2   2
                73.33          5.95        1.2907    4   4   0
                76.60          1.64        1.2434    4   2   4
                76.60          1.85        1.2434    2   4   4
                77.15          2.69        1.2360    5   2   3
                79.21          1.16        1.2088    1   5   4
                79.21          1.53        1.2088    5   1   4
                79.39          1.31        1.2065    7   0   2
                79.39          3.81        1.2065    3   5   2
                80.37          2.85        1.1943    2   3   5
                80.64          4.01        1.1910    1   1   6
                81.18          1.19        1.1844    1   7   0
                81.18          2.66        1.1844    7   1   0
                87.22          1.11        1.1172    3   3   5
                88.33          2.92        1.1060    2   2   6
                89.18          1.06        1.0976    3   1   6
                89.48          1.52        1.0947    1   6   4
                89.48          1.52        1.0947    1   6   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
