      Bixbyite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050395
      Geller S
      Acta Crystallographica B27 (1971) 821-828
      Structures of alpha-Mn203, (MnO.983Fe0.017)203 and (Mn0.37Fe0.63)2O3
      and relation to magnetic ordering
      Sample: (MnO.983Fe0.017)203

      CELL PARAMETERS:   9.412450   9.412450   9.412450   90.00000   90.00000   90.00000
      SPACE GROUP: Ia3
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                18.98          1.02        4.7062    2   0   0
                23.27         16.15        3.8426    2   1   1
                33.08        100.00        2.7171    2   2   2
                35.80          1.19        2.5156    3   2   1
                38.36         18.16        2.3531    4   0   0
                40.77          1.26        2.2185    4   1   1
                45.28          9.36        2.0067    3   3   2
                47.41          1.52        1.9213    4   2   2
                49.47          6.42        1.8459    4   3   1
                49.47          6.24        1.8459    4   1   3
                53.40          1.77        1.7185    5   2   1
                53.40          1.16        1.7185    5   1   2
                55.29         36.61        1.6639    4   4   0
                57.14          1.81        1.6142    4   3   3
                60.73          3.14        1.5269    6   1   1
                62.48          1.02        1.4882    6   2   0
                64.20          3.77        1.4524    5   4   1
                64.20          3.11        1.4524    5   1   4
                65.89         20.67        1.4190    6   2   2
                67.57          2.84        1.3878    6   3   1
                67.57          2.32        1.3878    6   1   3
                69.22          3.39        1.3586    4   4   4
                72.47          1.50        1.3053    6   4   0
                74.08          2.05        1.2809    7   1   2
                75.67          1.07        1.2578    6   2   4
                81.93          2.78        1.1766    8   0   0
                83.48          1.96        1.1586    8   1   1
                85.02          1.20        1.1414    8   0   2
                86.56          1.06        1.1250    6   5   3
                86.56          1.21        1.1250    6   3   5
                88.10          1.18        1.1093    8   2   2
                88.10          1.18        1.1093    8   2   2
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
