      Fluorapatite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050401
      Hughes J M, Cameron M, Crowley K D
      American Mineralogist 74 (1989) 870-876
      Structural variations in natural F, OH, and Cl apatites
      Locality: Durango Mexico

      CELL PARAMETERS:   9.367599   9.367599   6.876424   90.00000   90.00000   120.0000
      SPACE GROUP: P6_3/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.89          9.88        8.1126    1   0   0
                16.88          3.68        5.2456    1   0   1
                18.92          1.50        4.6838    1   1   0
                21.88          5.36        4.0563    2   0   0
                22.95          6.53        3.8711    1   1   1
                25.46          2.02        3.4937    2   0   1
                25.88         37.39        3.4382    0   0   2
                28.16         12.00        3.1656    1   0   2
                29.09         14.05        3.0663    1   2   0
                31.92         69.57        2.8005    1   2   1
                31.92         30.43        2.8005    2   1   1
                32.26         40.17        2.7716    1   1   2
                33.09         57.76        2.7042    3   0   0
                34.15         25.65        2.6228    2   0   2
                35.64          3.82        2.5166    3   0   1
                39.33          4.77        2.2884    1   2   2
                40.03          4.48        2.2500    1   3   0
                40.03         16.68        2.2500    3   1   0
                40.66          2.86        2.2169    2   2   1
                42.22          1.94        2.1385    1   3   1
                42.22          3.88        2.1385    3   1   1
                43.93          4.39        2.0588    1   1   3
                44.63          1.26        2.0281    4   0   0
                45.40          3.59        1.9956    2   0   3
                46.89         26.84        1.9356    2   2   2
                48.29          5.66        1.8827    1   3   2
                48.29          7.87        1.8827    3   1   2
                48.89          3.44        1.8612    3   2   0
                49.61         23.65        1.8359    1   2   3
                49.61         10.04        1.8359    2   1   3
                50.77          8.30        1.7965    2   3   1
                50.77          7.78        1.7965    3   2   1
                51.58          6.19        1.7703    1   4   0
                51.58          7.20        1.7703    4   1   0
                52.27          1.17        1.7485    3   0   3
                52.32         13.10        1.7469    4   0   2
                53.23         15.82        1.7191    0   0   4
                56.14          7.54        1.6367    2   3   2
                57.33          1.93        1.6057    1   3   3
                57.33          1.54        1.6057    3   1   3
                58.38          1.65        1.5792    5   0   1
                60.31          4.45        1.5331    4   2   0
                60.78          4.10        1.5225    3   3   1
                61.81          1.04        1.4995    1   2   4
                61.81          2.13        1.4995    2   1   4
                61.95          2.07        1.4964    4   2   1
                63.32         10.80        1.4673    5   0   2
                63.82          1.15        1.4571    1   5   0
                64.13          8.26        1.4508    3   0   4
                64.42          5.44        1.4448    2   3   3
                65.41          6.01        1.4254    1   5   1
                65.61          1.37        1.4216    3   3   2
                70.07          1.58        1.3416    5   1   2
                72.07          4.15        1.3093    3   4   1
                72.73          2.63        1.2991    2   5   0
                74.23          1.54        1.2765    2   5   1
                74.37          3.33        1.2743    4   2   3
                75.73          1.59        1.2548    2   1   5
                75.73          3.55        1.2548    1   2   5
                76.55          2.40        1.2434    4   3   2
                77.01          1.14        1.2372    1   6   0
                77.29          2.65        1.2333    1   4   4
                77.29          4.42        1.2333    4   1   4
                77.56          3.58        1.2296    1   5   3
                78.66          5.03        1.2152    5   2   2
                81.50          1.04        1.1800    5   0   4
                83.85          3.89        1.1528    3   4   3
                84.45          1.78        1.1461    0   0   6
                84.62          2.02        1.1442    4   2   4
                84.62          1.30        1.1442    2   4   4
                85.92          1.19        1.1302    2   5   3
                87.56          3.28        1.1132    1   1   6
                87.73          1.82        1.1115    1   5   4
                88.27          1.55        1.1061    3   2   5
                89.07          1.17        1.0982    5   3   2
                89.07          1.03        1.0982    7   0   2
                89.07          1.03        1.0982    7   0   2
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
