      Enargite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050442
      Pauling L, Weinbaum S
      Zeitschrift fur Kristallographie 88 (1934) 48-53
      The crystal structure of enargite, Cu3AsS4
      Locality: Philippine Islands

      CELL PARAMETERS:   7.407000   6.436000   6.154000   90.00000   90.00000   90.00000
      SPACE GROUP: Pnm2_1
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                13.79          1.08        6.4276    0   1   0
                18.27          1.71        4.8578    1   1   0
                18.75          2.05        4.7358    1   0   1
                27.76         41.67        3.2138    0   2   0
                27.77         85.06        3.2126    2   1   0
                29.03         78.85        3.0764    0   0   2
                31.40         46.08        2.8486    0   2   1
                31.41        100.00        2.8478    2   1   1
                40.59         14.77        2.2223    0   2   2
                40.60         29.32        2.2219    2   1   2
                43.98          1.22        2.0584    1   3   0
                49.09         57.43        1.8553    2   3   0
                49.11         29.45        1.8546    4   0   0
                52.94         30.26        1.7289    0   2   3
                52.95         61.41        1.7287    2   1   3
                57.31          4.13        1.6069    0   4   0
                57.34          8.43        1.6063    4   2   0
                58.03         34.75        1.5887    2   3   2
                58.05         17.85        1.5883    4   0   2
                59.42          7.09        1.5547    0   4   1
                59.45         12.46        1.5542    4   2   1
                60.13          2.35        1.5382    0   0   4
                65.51          2.72        1.4243    0   4   2
                65.53          5.80        1.4239    4   2   2
                67.47          1.05        1.3875    0   2   4
                67.48          1.28        1.3874    2   1   4
                75.06          8.61        1.2649    0   4   3
                75.08         17.71        1.2646    4   2   3
                78.74          2.58        1.2146    2   5   0
                78.76          2.75        1.2144    4   4   0
                78.78          2.87        1.2141    6   1   0
                80.57          3.63        1.1916    2   5   1
                80.58          4.81        1.1915    4   4   1
                80.61          4.61        1.1912    6   1   1
                81.19          3.05        1.1841    2   3   4
                81.20          1.55        1.1840    4   0   4
                84.20          5.51        1.1492    0   2   5
                84.21         10.85        1.1491    2   1   5
                86.00          2.28        1.1298    2   5   2
                86.01          2.22        1.1296    4   4   2
                86.04          2.34        1.1294    6   1   2
                86.04          2.34        1.1294    6   1   2
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

