      Tremolite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050498
      Yang H, Evans B W
      American Mineralogist 81 (1996) 1117-1125
      X-ray structure refinements of tremolite at 140 and 295 K: Crystal chemistry and
      petrologic implications
      T = 140 K

      CELL PARAMETERS:   9.839851   18.05233   5.275720   90.00000   104.7594   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.81         52.93        9.0262    0   2   0
                10.52         88.00        8.4175    1   1   0
                17.39          6.36        5.1016    0   0   1
                17.44          8.80        5.0858    1   3   0
                18.19         33.40        4.8772   -1   1   1
                18.65          7.33        4.7576    2   0   0
                19.67         24.30        4.5131    0   4   0
                19.99          1.36        4.4413    0   2   1
                21.11         11.20        4.2087    2   2   0
                22.06          3.73        4.0288   -2   0   1
                22.32          4.23        3.9831    1   1   1
                22.95         36.09        3.8753   -1   3   1
                26.36          1.12        3.3803    0   4   1
                26.37         50.27        3.3791    1   3   1
                27.23         45.58        3.2743    2   4   0
                28.57         74.60        3.1239    3   1   0
                28.73          2.63        3.1069    2   0   1
                29.54          2.53        3.0233   -3   1   1
                29.72          1.99        3.0055   -2   4   1
                30.39         12.08        2.9401   -1   5   1
                30.42         45.36        2.9378    2   2   1
                31.89         13.60        2.8058    3   3   0
                32.77         21.88        2.7322   -3   3   1
                33.11        100.00        2.7049    1   5   1
                34.60         43.03        2.5916    0   6   1
                35.17         10.71        2.5508    0   0   2
                35.28          1.20        2.5429    2   6   0
                35.43         64.07        2.5328   -2   0   2
                36.59          2.27        2.4547    0   2   2
                36.84          3.27        2.4386   -2   2   2
                37.29          3.50        2.4107   -2   6   1
                37.41          1.41        2.4031   -4   0   1
                37.74          5.64        2.3829    3   5   0
                38.50         33.92        2.3373   -3   5   1
                38.76         18.21        2.3222   -4   2   1
                39.18         14.88        2.2982   -1   7   1
                39.60         22.44        2.2752   -3   1   2
                40.84          8.81        2.2087   -2   4   2
                41.39          7.99        2.1805    1   7   1
                41.70          1.15        2.1650    1   3   2
                41.77         35.90        2.1614    2   6   1
                42.15          4.70        2.1431   -3   3   2
                42.42          2.17        2.1298   -1   5   2
                43.85          1.23        2.0637    0   8   1
                44.34         18.30        2.0419    2   0   2
                44.41          1.35        2.0388    2   8   0
                44.98          9.94        2.0144   -4   0   2
                44.94         12.14        2.0161    3   5   1
                45.30          5.52        2.0009    3   7   0
                45.96          3.01        1.9737   -3   7   1
                46.15          1.61        1.9660   -4   2   2
                46.23          4.20        1.9627    1   9   0
                46.50          1.03        1.9520    1   5   2
                46.91          2.81        1.9359   -3   5   2
                47.15          1.91        1.9266    4   2   1
                48.05          8.57        1.8925    5   1   0
                48.46          3.13        1.8777   -4   6   1
                48.81         10.81        1.8649   -1   9   1
                48.94          2.84        1.8603    2   4   2
                49.40          3.57        1.8440   -1   7   2
                49.53          4.29        1.8395   -4   4   2
                50.26          4.42        1.8145    5   3   0
                50.53          1.20        1.8052    0  10   0
                50.68          1.25        1.8004    1   9   1
                52.37          5.94        1.7463   -5   1   2
                53.84          1.18        1.7018    0  10   1
                54.24          2.21        1.6901    0   8   2
                54.43          6.25        1.6849   -2   8   2
                54.49          7.32        1.6832   -1   3   3
                54.65          2.05        1.6786   -3   9   1
                54.91          7.25        1.6711    0   2   3
                55.70         29.56        1.6494    4   6   1
                56.15          6.60        1.6371    4   8   0
                56.90         12.25        1.6172    1  11   0
                58.14          4.44        1.5859    6   0   0
                58.49         23.07        1.5771   -1   5   3
                59.11          1.06        1.5619    6   2   0
                59.16          2.28        1.5609    2  10   1
                59.47          5.66        1.5535    4   0   2
                60.33         11.58        1.5333   -6   0   2
                60.43          1.06        1.5310    4   2   2
                61.03          3.80        1.5175    1   9   2
                61.28         25.20        1.5119   -2   6   3
                61.62         14.52        1.5044    0  12   0
                61.69          4.32        1.5027   -4   8   2
                61.76          4.76        1.5012    5   5   1
                62.72          1.42        1.4804    0   6   3
                63.22          1.05        1.4701   -2  10   2
                63.27          4.75        1.4689    4   4   2
                63.41          1.99        1.4661    2   2   3
                63.82          4.06        1.4576    3  11   0
                64.11          3.75        1.4518   -6   4   2
                64.20          4.57        1.4499   -1   7   3
                64.35          1.07        1.4469   -3  11   1
                64.53          1.65        1.4434   -4  10   1
                64.79         35.37        1.4381   -6   6   1
                65.43          1.51        1.4255   -5   3   3
                66.86          1.53        1.3985    6   2   1
                68.81         13.79        1.3636    5   1   2
                69.05          4.71        1.3593   -5   5   3
                69.28          3.03        1.3555    7   1   0
                70.20          7.77        1.3399    1  11   2
                70.24          1.46        1.3392   -1  13   1
                70.52          4.03        1.3346   -3  11   2
                70.59          3.65        1.3335    5   3   2
                70.66          6.42        1.3322    2   6   3
                71.38          2.03        1.3206   -5   9   2
                71.42          1.52        1.3200   -1   9   3
                71.54          1.04        1.3181   -7   3   2
                72.06          8.37        1.3098   -7   5   1
                72.35          7.43        1.3053   -1   1   4
                72.66          1.20        1.3005   -3   1   4
                72.85          2.05        1.2975    6   8   0
                72.96          5.66        1.2958    0  12   2
                73.12         19.03        1.2934   -2  12   2
                73.23          1.40        1.2918   -3   9   3
                73.95          2.97        1.2809    6   6   1
                74.09          2.28        1.2789   -1   3   4
                74.32          3.68        1.2754    0   0   4
                74.40          1.58        1.2743   -3   3   4
                74.60          1.58        1.2714    4  12   0
                74.94          5.68        1.2664   -4   0   4
                76.98          1.27        1.2378    0  10   3
                77.25          1.64        1.2342   -7   7   1
                77.55          1.54        1.2302    4   2   3
                77.71          1.28        1.2281   -2  14   1
                78.37          1.11        1.2193   -4   4   4
                80.00          9.59        1.1985   -5  11   2
                80.74          2.54        1.1894    8   0   0
                83.14          1.93        1.1611   -8   4   2
                83.22          5.32        1.1602    2   0   4
                83.73          1.51        1.1544    1  15   1
                84.31          1.57        1.1479    4   6   3
                84.37          1.39        1.1472    2  10   3
                86.42          2.95        1.1253    7   9   0
                86.75          1.18        1.1217    5  13   0
                87.59          1.18        1.1132    5   3   3
                87.76          2.53        1.1114   -6   4   4
                88.27          1.16        1.1064   -7   7   3
                88.27          1.16        1.1064   -7   7   3
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
