      Carbonate-fluorapatite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050529
      Perdikatsis B
      Materials Science Forum 79 (1991) 809-814
      X-ray powder diffraction study of francolite by the Rietveld method
      Locality: Epirus, Greece
      Sample: T = 26 C
      Note: Reported structure does not reproduce reported formula or bondlengths

      CELL PARAMETERS:   9.338523   9.338523   6.893971   90.00000   90.00000   120.0000
      SPACE GROUP: P6_3/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.92          2.12        8.0874    1   0   0
                16.88         13.50        5.2465    1   0   1
                18.98         80.05        4.6693    1   1   0
                21.96         25.50        4.0437    2   0   0
                22.98         24.14        3.8660    1   1   1
                25.51          9.83        3.4880    2   0   1
                25.82         16.10        3.4470    0   0   2
                28.11          2.21        3.1710    1   0   2
                29.18          3.12        3.0567    1   2   0
                29.18         35.51        3.0567    2   1   0
                32.00         29.95        2.7944    1   2   1
                32.00         70.05        2.7944    2   1   1
                32.25         15.53        2.7732    1   1   2
                33.20         64.56        2.6958    3   0   0
                34.15         28.03        2.6232    2   0   2
                35.73          3.81        2.5107    3   0   1
                39.36         17.05        2.2870    1   2   2
                39.36          5.30        2.2870    2   1   2
                40.16         51.68        2.2430    1   3   0
                40.16         13.52        2.2430    3   1   0
                40.78          2.39        2.2105    1   0   3
                40.77          4.65        2.2113    2   2   1
                42.33          3.17        2.1330    1   3   1
                42.33          7.72        2.1330    3   1   1
                42.53          4.80        2.1235    3   0   2
                43.87         24.02        2.0618    1   1   3
                44.78          1.14        2.0218    4   0   0
                45.35         15.99        1.9979    2   0   3
                46.96         26.38        1.9330    2   2   2
                48.37          7.93        1.8800    3   1   2
                49.05          5.94        1.8554    2   3   0
                49.58         13.09        1.8368    1   2   3
                49.58         33.14        1.8368    2   1   3
                50.92         10.91        1.7916    2   3   1
                50.92          8.99        1.7916    3   2   1
                51.75          3.17        1.7648    1   4   0
                51.75          3.61        1.7648    4   1   0
                52.26          1.64        1.7488    3   0   3
                52.42         11.61        1.7440    4   0   2
                53.09         14.70        1.7235    0   0   4
                56.25          4.90        1.6337    3   2   2
                57.35          1.19        1.6051    1   3   3
                57.35          8.80        1.6051    3   1   3
                58.56          4.09        1.5747    5   0   1
                58.72          1.09        1.5709    1   4   2
                60.52          6.20        1.5284    2   4   0
                60.97          5.96        1.5182    3   3   1
                61.73          1.17        1.5013    2   1   4
                61.73          2.94        1.5013    1   2   4
                63.47         11.37        1.4643    5   0   2
                64.07          4.76        1.4521    3   0   4
                64.49          8.55        1.4436    3   2   3
                65.63          1.07        1.4213    1   5   1
                65.63          5.90        1.4213    5   1   1
                66.77          1.47        1.3997    1   4   3
                66.91          4.14        1.3972    4   2   2
                70.26          2.32        1.3385    5   1   2
                71.25          1.28        1.3223    1   1   5
                71.23          1.50        1.3227    5   0   3
                72.31          3.78        1.3055    4   3   1
                72.99          2.84        1.2950    5   2   0
                72.99          1.17        1.2950    2   5   0
                74.49          5.24        1.2726    2   4   3
                74.48          1.30        1.2728    5   2   1
                74.48          1.04        1.2728    2   5   1
                75.59          3.31        1.2569    2   1   5
                75.59          1.57        1.2569    1   2   5
                76.77          2.04        1.2405    3   4   2
                77.31          3.55        1.2330    1   4   4
                77.31          1.72        1.2330    4   1   4
                77.29          1.89        1.2333    6   1   0
                77.70          3.70        1.2278    5   1   3
                78.89          7.43        1.2123    2   5   2
                78.89          1.03        1.2123    5   2   2
                81.95          1.10        1.1746    3   1   5
                83.10          1.68        1.1612    1   6   2
                84.02          5.02        1.1508    4   3   3
                84.19          2.74        1.1490    0   0   6
                84.69          2.20        1.1435    2   4   4
                84.69          1.52        1.1435    4   2   4
                86.11          1.30        1.1282    5   2   3
                87.32          3.84        1.1157    1   1   6
                87.81          1.84        1.1107    5   1   4
                88.21          2.39        1.1067    2   3   5
                89.36          1.12        1.0954    5   3   2
                89.36          1.12        1.0954    7   0   2
                89.36          1.12        1.0954    7   0   2
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
