      Andalusite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050561
      Winter J K, Ghose S
      American Mineralogist 64 (1979) 573-586
      Thermal expansion and high-temperature crystal chemistry of the Al2SiO5
      polymorphs
      T = 25 deg C

      CELL PARAMETERS:   7.798000   7.903100   5.556600   90.00000   90.00000   90.00000
      SPACE GROUP: Pnnm
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                15.98         99.56        5.5494    1   1   0
                19.53         69.89        4.5468    0   1   1
                19.62        100.00        4.5264    1   0   1
                22.51          3.26        3.9506    0   2   0
                22.64         54.03        3.9276    1   1   1
                22.82          4.41        3.8980    2   0   0
                25.28         31.11        3.5239    1   2   0
                25.48         25.21        3.4957    2   1   0
                32.20         22.78        2.7798    0   0   2
                32.26         71.82        2.7747    2   2   0
                35.99          5.52        2.4952    1   3   0
                36.13         33.15        2.4854    1   1   2
                36.17          4.37        2.4827    2   2   1
                36.39         24.18        2.4686    3   1   0
                37.79         11.39        2.3802    0   3   1
                38.22         10.56        2.3542    3   0   1
                39.58         18.28        2.2764    1   3   1
                39.63         37.12        2.2734    0   2   2
                39.95         27.35        2.2561    3   1   1
                41.36         26.13        2.1825    1   2   2
                41.49         25.98        2.1757    2   1   2
                41.59         32.00        2.1711    3   2   0
                45.93          6.24        1.9753    0   4   0
                46.58          3.68        1.9490    4   0   0
                47.47          1.17        1.9148    1   4   0
                48.07          5.00        1.8923    4   1   0
                49.04          8.49        1.8568    1   3   2
                50.39          6.87        1.8104    1   4   1
                50.57          7.71        1.8042    0   1   3
                50.61          3.70        1.8029    1   0   3
                50.96          9.10        1.7913    4   1   1
                52.00          1.99        1.7577    1   1   3
                52.09          9.81        1.7552    3   3   1
                53.35          3.11        1.7165    2   3   2
                54.62          2.59        1.6796    2   4   1
                57.18          4.38        1.6102    0   4   2
                57.75         17.51        1.5958    4   0   2
                59.67          3.45        1.5487    1   5   0
                60.00          1.12        1.5411    2   2   3
                60.05         20.71        1.5400    3   3   2
                60.49          6.38        1.5297    5   1   0
                60.92          1.32        1.5200    0   5   1
                61.12          2.49        1.5156    0   3   3
                61.22          3.26        1.5132    3   4   1
                61.42          2.68        1.5088    3   0   3
                61.46          3.76        1.5079    4   3   1
                61.76          1.61        1.5013    5   0   1
                62.19         11.88        1.4919    1   5   1
                62.37         51.35        1.4882    2   4   2
                62.39          6.49        1.4877    1   3   3
                62.65          5.44        1.4820    3   1   3
                62.77         13.73        1.4797    4   2   2
                62.99         11.38        1.4749    5   1   1
                63.49          4.47        1.4645    2   5   0
                67.34         22.60        1.3899    0   0   4
                67.48         12.40        1.3873    4   4   0
                69.43          1.28        1.3529    1   5   2
                69.71          2.01        1.3482    1   1   4
                70.19          2.90        1.3402    5   1   2
                70.71          2.90        1.3316    1   4   3
                71.18          1.19        1.3240    4   1   3
                72.11          3.90        1.3092    3   3   3
                72.42          1.13        1.3043    5   3   1
                72.74          1.92        1.2993    6   0   0
                72.80          1.30        1.2985    1   6   0
                72.98          8.56        1.2957    2   5   2
                73.16          1.90        1.2929    1   2   4
                73.25          1.83        1.2915    2   1   4
                73.63         10.56        1.2858    5   2   2
                73.88          1.21        1.2821    6   1   0
                76.28          3.80        1.2476    2   6   0
                76.63          9.36        1.2427    2   2   4
                76.73         11.55        1.2413    4   4   2
                77.25          4.67        1.2343    6   2   0
                78.75          4.89        1.2145    3   5   2
                78.77          1.69        1.2142    1   3   4
                79.01          4.12        1.2111    3   1   4
                80.18          1.67        1.1964    4   3   3
                80.27          2.09        1.1952    5   4   1
                80.45          1.19        1.1931    5   0   3
                80.69          2.92        1.1901    0   6   2
                80.83          6.66        1.1884    1   5   3
                81.55          4.38        1.1797    5   1   3
                81.77          4.98        1.1771    6   0   2
                81.98          1.37        1.1746    3   6   0
                82.33          2.87        1.1706    3   2   4
                87.21          1.10        1.1171    1   7   0
                88.84          1.21        1.1008    1   0   5
                89.41          2.06        1.0952    1   7   1
                89.41          2.06        1.0952    1   7   1
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
