      Skutterudite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050593
      Mandel N, Donohue J
      Acta Crystallographica B27 (1971) 2288-2289
      The refinement of the crystal structure of skutterudite, CoAs3
      Locality: Bou-Azzer, Morocco

      CELL PARAMETERS:   8.214947   8.214947   8.214947   90.00000   90.00000   90.00000
      SPACE GROUP: Im3
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                15.33         12.78        5.8088    1   1   0
                21.71         11.86        4.1075    2   0   0
                26.65         11.29        3.3537    2   1   1
                30.85          2.47        2.9044    2   2   0
                34.59         83.59        2.5978    3   0   1
                34.59         16.41        2.5978    3   1   0
                38.00          2.52        2.3715    2   2   2
                41.17         28.58        2.1955    3   1   2
                46.97          1.25        1.9363    4   1   1
                46.97          6.21        1.9363    3   3   0
                49.67         15.09        1.8369    4   0   2
                49.67         21.13        1.8369    4   2   0
                52.27          8.14        1.7514    3   3   2
                54.78         20.38        1.6769    4   2   2
                57.21         22.45        1.6111    4   3   1
                57.21          3.58        1.6111    4   1   3
                57.21          1.77        1.6111    5   1   0
                66.38          5.43        1.4089    4   3   3
                66.38          3.21        1.4089    5   0   3
                66.38          3.43        1.4089    5   3   0
                68.56          4.07        1.3692    6   0   0
                72.83          2.08        1.2989    6   0   2
                72.83          1.49        1.2989    6   2   0
                77.01          4.68        1.2384    6   2   2
                79.07          9.44        1.2112    6   1   3
                79.07          1.56        1.2112    6   3   1
                81.12          4.96        1.1857    4   4   4
                83.15          1.65        1.1618    5   4   3
                85.18          2.08        1.1392    6   4   0
                85.18          1.55        1.1392    6   0   4
                87.20          2.13        1.1179    6   3   3
                87.20          2.13        1.1179    6   3   3
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
