      Manganotantalite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050600
      Klein S, Weitzel H
      Acta Crystallographica A32 (1976) 587-591
      Magnetische struktur von Mn(Nb0.5Ta0.5)2O6, manganotantalit
      Note: columbite structure

      CELL PARAMETERS:   14.39421   5.758721   5.085165   90.00000   90.00000   90.00000
      SPACE GROUP: Pbcn
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                12.38         12.70        7.1971    2   0   0
                16.66          3.80        5.3467    1   1   0
                24.22         13.64        3.6847    1   1   1
                24.21         25.67        3.6863    3   1   0
                24.81          6.19        3.5986    4   0   0
                30.00        100.00        2.9846    3   1   1
                31.12          9.21        2.8794    0   2   0
                33.58          1.02        2.6734    2   2   0
                35.36         14.61        2.5426    0   0   2
                35.90         16.77        2.5056    0   2   1
                37.57          1.52        2.3974    2   0   2
                37.55          9.05        2.3990    6   0   0
                38.08          1.63        2.3663    2   2   1
                40.19          1.77        2.2466    3   0   2
                40.67          2.97        2.2210    3   2   1
                43.28          8.12        2.0930    3   1   2
                43.64          1.83        2.0765    4   0   2
                44.09          2.88        2.0562    4   2   1
                47.77          6.69        1.9059    0   2   2
                47.85          1.06        1.9027    1   3   0
                49.50          6.18        1.8431    6   2   0
                50.47          3.04        1.8098    7   1   1
                51.30         13.68        1.7822    3   3   0
                52.48         15.43        1.7449    6   0   2
                52.87         20.50        1.7328    6   2   1
                54.52          1.05        1.6842    4   2   2
                57.03          1.05        1.6158    1   1   3
                60.11         13.20        1.5400    3   1   3
                60.07          1.12        1.5410    9   1   0
                60.84          1.20        1.5234    1   3   2
                62.24          4.94        1.4923    6   2   2
                63.06         11.60        1.4748    9   1   1
                63.74          6.72        1.4607    0   2   3
                63.80         12.73        1.4594    3   3   2
                67.66          5.55        1.3852    0   4   1
                71.62          2.14        1.3179    9   1   2
                73.23          1.10        1.2928    4   4   1
                74.39          1.06        1.2755    7   1   3
                74.68          1.56        1.2713    0   0   4
                76.34          2.74        1.2477    6   2   3
                76.31          1.03        1.2481   10   2   1
                77.75          1.11        1.2285    7   3   2
                77.73          3.26        1.2288    9   3   0
                79.81          1.23        1.2018    3   1   4
                79.99          2.16        1.1995   12   0   0
                79.99          6.05        1.1996    6   4   1
                83.04          1.05        1.1630    0   2   4
                85.08          3.90        1.1402    9   1   3
                86.67          2.99        1.1233    6   0   4
                87.00          1.46        1.1199    3   5   0
                88.34          5.11        1.1063    9   3   2
                89.26          2.11        1.0973    0   4   3
                89.63          2.32        1.0937    3   5   1
                89.63          2.32        1.0937    3   5   1
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
