      Manganocolumbite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060001
      Tarantino S C, Zema M
      American Mineralogist 90 (2005) 1291-1300
      Mixing and ordering behavior in manganocolumbite-ferrocolumbite solid solution:
      A single-crystal X-ray diffraction study
      Sample: RIO n5 Qm=1 from Rio Arriba Co., Globe Mine, U.S.A.

      CELL PARAMETERS:   14.34340   5.741500   5.066500   90.00000   90.00000   90.00000
      SPACE GROUP: Pbcn
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                12.43          5.04        7.1569    2   0   0
                16.70          1.55        5.3296    1   1   0
                24.31         25.43        3.6698    3   1   0
                24.24          7.30        3.6806    1   1   1
                24.94          3.77        3.5785    4   0   0
                30.07        100.00        2.9766    3   1   1
                31.20          9.47        2.8712    0   2   0
                35.32         12.93        2.5445    0   0   2
                35.96         13.53        2.5007    0   2   1
                37.75          6.69        2.3856    6   0   0
                40.21          2.80        2.2452    3   0   2
                40.78          5.16        2.2149    3   2   1
                43.31          7.30        2.0911    3   1   2
                44.22          1.26        2.0498    4   2   1
                47.80          6.98        1.9043    0   2   2
                49.72          6.39        1.8349    6   2   0
                50.70          1.77        1.8016    7   1   1
                51.47         12.71        1.7765    3   3   0
                52.62         15.67        1.7404    6   0   2
                53.08         19.94        1.7261    6   2   1
                54.75          1.27        1.6773    3   3   1
                60.11         12.89        1.5398    3   1   3
                62.41          4.82        1.4883    6   2   2
                63.39         10.77        1.4676    9   1   1
                63.74          7.06        1.4605    0   2   3
                63.93         11.44        1.4566    3   3   2
                67.84          5.26        1.3817    0   4   1
                71.92          1.89        1.3129    9   1   2
                74.60          1.40        1.2723    0   0   4
                76.48          1.86        1.2456    6   2   3
                78.13          2.68        1.2233    9   3   0
                79.78          1.08        1.2021    3   1   4
                80.29          5.36        1.1956    6   4   1
                80.52          2.08        1.1928   12   0   0
                83.02          1.09        1.1632    0   2   4
                85.34          3.42        1.1373    9   1   3
                86.73          2.94        1.1226    6   0   4
                87.31          1.41        1.1166    3   5   0
                88.72          4.47        1.1025    9   3   2
                89.40          1.91        1.0959    0   4   3
                89.94          1.68        1.0907    3   5   1
                89.94          1.68        1.0907    3   5   1
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
