      Baddeleyite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060016
      McCullough J D, Trueblood K N
      Acta Crystallographica 12 (1959) 507-511
      The crystal structure of baddeleyite (monoclinic ZrO2)

      CELL PARAMETERS:   5.169000   5.232000   5.341000   90.00000   99.25000   90.00000
      SPACE GROUP: P2_1/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.49          5.95        5.0783    1   0   0
                24.09         16.08        3.6961    0   1   1
                24.49         11.54        3.6368    1   1   0
                28.22        100.00        3.1634   -1   1   1
                31.52         67.78        2.8396    1   1   1
                34.21         20.60        2.6218    0   0   2
                34.43         13.60        2.6054    0   2   0
                35.36         15.40        2.5391    2   0   0
                35.95          3.28        2.4987   -1   0   2
                38.59          5.80        2.3333    0   2   1
                40.78         13.46        2.2129   -2   1   1
                41.21          4.71        2.1908    1   0   2
                41.42          4.89        2.1800   -1   2   1
                44.88          6.47        2.0196    1   1   2
                45.57          6.76        1.9905   -2   0   2
                48.98          1.87        1.8594   -2   1   2
                49.30         18.25        1.8481    0   2   2
                50.16         21.52        1.8184    2   2   0
                50.61         11.76        1.8034   -1   2   2
                51.24          5.66        1.7826   -2   2   1
                54.16         11.06        1.6933    2   0   2
                54.17          1.47        1.6928    3   0   0
                55.33          4.07        1.6600    2   2   1
                55.44          9.01        1.6571    0   1   3
                55.65          6.34        1.6511   -1   1   3
                55.94          8.16        1.6435    1   3   0
                57.23          8.00        1.6095   -3   1   1
                57.91          5.15        1.5920   -1   3   1
                58.32          3.32        1.5817   -2   2   2
                59.83          8.70        1.5455    1   3   1
                60.10          6.96        1.5390   -3   0   2
                61.42          6.06        1.5091    1   1   3
                62.03          6.82        1.4957   -2   1   3
                62.90         10.37        1.4771    3   1   1
                64.14          1.35        1.4515    0   2   3
                64.34          1.63        1.4475   -1   2   3
                65.42          2.37        1.4262   -1   3   2
                65.75          4.91        1.4198    2   2   2
                65.77          1.95        1.4195    3   2   0
                65.96          1.04        1.4159   -2   3   1
                68.97          2.64        1.3611    1   3   2
                71.12          2.33        1.3251   -3   2   2
                71.34          3.96        1.3216   -1   0   4
                72.15          1.45        1.3087   -2   3   2
                72.53          1.02        1.3027    0   4   0
                74.74          1.89        1.2696    4   0   0
                75.11          4.41        1.2643    0   4   1
                76.50          2.61        1.2447   -4   1   1
                78.94          1.19        1.2123    3   3   0
                78.95          1.08        1.2121   -3   3   1
                81.65          2.02        1.1786   -1   2   4
                82.61          1.80        1.1675    1   3   3
                83.15          2.24        1.1612   -2   3   3
                83.92          1.44        1.1524    3   3   1
                84.18          1.65        1.1496   -2   4   1
                84.93          1.70        1.1413    4   2   0
                86.20          1.64        1.1277   -3   0   4
                87.46          2.41        1.1147    2   4   1
                88.24          2.11        1.1069    1   2   4
                88.60          2.97        1.1033    3   1   3
                89.41          1.10        1.0954    2   0   4
                89.86          3.09        1.0911   -4   1   3
                89.86          3.09        1.0911   -4   1   3
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
