      Analcime
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060023
      Cruciani G, Gualtieri A
      American Mineralogist 84 (1999) 112-119
      Dehydration dynamics of analcime by in situ synchrotron powder diffraction
      Sample at T = 632 K

      CELL PARAMETERS:   13.67170   13.67170   13.59960   90.00000   90.00000   90.00000
      ALTERNATE SETTING FOR SPACE GROUP: I4_1/acd
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                12.96          2.72        6.8606    2   0   0
                15.88        100.00        5.6018    2   1   1
                15.88         68.67        5.6020    1   1   2
                18.34          1.34        4.8512    2   2   0
                18.34         17.94        4.8514    2   0   2
                24.32          4.66        3.6672    3   2   1
                24.32          2.88        3.6672    3   1   2
                24.32          8.22        3.6674    2   1   3
                26.02         72.82        3.4303    4   0   0
                26.02         24.15        3.4306    0   0   4
                30.60          9.76        2.9254    3   3   2
                30.60         33.12        2.9255    3   2   3
                31.99          3.67        2.8009    4   2   2
                33.34          4.34        2.6910    4   3   1
                33.33          7.11        2.6910    4   1   3
                33.33          2.57        2.6911    3   1   4
                35.88         10.07        2.5052    5   2   1
                35.88          4.03        2.5052    5   1   2
                35.88          4.53        2.5053    2   1   5
                37.10          2.92        2.4257    4   0   4
                40.56          4.17        2.2259    6   1   1
                40.56          2.40        2.2261    1   1   6
                41.66          1.67        2.1695    6   0   2
                44.83          1.01        2.0231    6   3   1
                47.83          2.27        1.9028    6   4   0
                47.83          1.91        1.9028    6   0   4
                47.82          3.42        1.9029    4   0   6
                48.80          2.15        1.8673    6   3   3
                49.75          1.05        1.8336    6   2   4
                52.54          2.01        1.7426    6   5   1
                52.54          2.46        1.7426    7   3   2
                52.53          3.46        1.7426    7   2   3
                52.53          1.03        1.7427    6   1   5
                52.53          3.87        1.7427    3   2   7
                53.44          1.48        1.7152    8   0   0
                54.34          1.75        1.6890    7   4   1
                54.33          1.46        1.6890    7   1   4
                54.33          2.02        1.6891    4   1   7
                57.82          1.56        1.5951    8   1   3
                57.82          1.24        1.5952    3   1   8
                62.81          1.11        1.4796    9   2   1
                62.81          1.19        1.4796    9   1   2
                66.02          1.06        1.4152    9   3   2
                69.14          2.09        1.3587    7   2   7
                69.14          2.09        1.3587    7   2   7
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
