      Hornblende
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern R060029
      Mancini F, Sillanpaa R, Marshall B, Papunen H
      The Canadian Mineralogist 34 (1996) 835-844
      Magnesian hornblende from a metamorphosed ultramafic body in southwestern
      Finland: crystal chemistry and petrological implications
      Locality: southwestern Finland

      CELL PARAMETERS:   9.857000   18.11200   5.309000   90.00000   104.8100   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.84         21.66        9.0395    0   2   0
                10.52        100.00        8.4551    1   1   0
                17.35          1.42        5.1263    0   0   1
                17.44          1.89        5.0988    1   3   0
                18.10         15.62        4.9128   -1   1   1
                19.69         14.52        4.5197    0   4   0
                21.06          3.07        4.2276    2   2   0
                21.91          1.04        4.0639   -2   0   1
                22.29          4.85        3.9952    1   1   1
                22.87         21.22        3.8952   -1   3   1
                26.35         36.35        3.3879    1   3   1
                27.18         34.72        3.2850    2   4   0
                28.46         63.25        3.1401    3   1   0
                29.34          2.89        3.0479   -3   1   1
                30.33          5.67        2.9506   -1   5   1
                30.38         34.66        2.9460    2   2   1
                31.78         13.63        2.8184    3   3   0
                32.58         16.75        2.7512   -3   3   1
                33.08         79.33        2.7108    1   5   1
                34.17          1.05        2.6263   -1   1   2
                34.56         47.43        2.5977    0   6   1
                35.04          3.57        2.5632    0   0   2
                35.19         57.30        2.5525   -2   0   2
                37.64          4.02        2.3915    3   5   0
                37.64          1.25        2.3914    4   0   0
                38.33         28.13        2.3500   -3   5   1
                38.51         14.03        2.3395   -4   2   1
                39.11          7.17        2.3046   -1   7   1
                39.30         19.38        2.2943   -3   1   2
                40.62          7.26        2.2225   -2   4   2
                41.35          6.72        2.1847    1   7   1
                41.72         36.27        2.1661    2   6   1
                41.86          4.70        2.1594   -3   3   2
                42.26          1.76        2.1398   -1   5   2
                44.24         18.02        2.0482    2   0   2
                44.36          1.33        2.0433    2   8   0
                44.62         11.62        2.0320   -4   0   2
                44.86         12.17        2.0214    3   5   1
                45.20          2.75        2.0069    3   7   0
                45.80          3.29        1.9822   -3   7   1
                46.20          1.77        1.9659    1   9   0
                46.64          1.90        1.9485   -3   5   2
                47.83          4.78        1.9025    5   1   0
                48.23          4.72        1.8877   -4   6   1
                48.73          6.26        1.8693   -1   9   1
                48.83          1.60        1.8656    2   4   2
                49.24          1.75        1.8511   -1   7   2
                49.18          3.73        1.8533   -4   4   2
                50.04          2.40        1.8235    5   3   0
                50.50          1.88        1.8079    0  10   0
                50.63          1.72        1.8036    1   9   1
                51.93          5.59        1.7612   -5   1   2
                52.99          1.03        1.7285   -5   5   1
                54.12          1.66        1.6951    0   8   2
                54.21          5.20        1.6925   -1   3   3
                54.22          3.73        1.6920   -2   8   2
                54.48          2.36        1.6845   -3   9   1
                54.68          6.03        1.6790    0   2   3
                55.57         27.71        1.6541    4   6   1
                56.00          4.17        1.6425    4   8   0
                56.85         10.91        1.6198    1  11   0
                57.84          4.97        1.5943    6   0   0
                58.22         19.59        1.5850   -1   5   3
                59.08          2.17        1.5638    2  10   1
                59.32          6.30        1.5581    4   0   2
                59.82         11.11        1.5461   -6   0   2
                60.91          2.57        1.5211    1   9   2
                60.95         24.02        1.5203   -2   6   3
                61.56         12.94        1.5066    0  12   0
                61.36          3.77        1.5110   -4   8   2
                61.58          4.26        1.5062    5   5   1
                62.49          2.26        1.4864    0   6   3
                63.01          1.77        1.4753   -2  10   2
                63.12          3.82        1.4730    4   4   2
                63.21          1.27        1.4711    2   2   3
                63.70          3.80        1.4609    3  11   0
                63.93          3.80        1.4563   -1   7   3
                63.61          2.35        1.4629   -6   4   2
                64.30          1.62        1.4488   -4  10   1
                64.42         31.83        1.4464   -6   6   1
                64.88          1.25        1.4373   -5   3   3
                66.08          1.27        1.4140   -4   6   3
                66.61          1.30        1.4039    6   2   1
                68.62         11.42        1.3677    5   1   2
                68.50          4.16        1.3697   -5   5   3
                68.91          2.67        1.3626    7   1   0
                70.07          6.73        1.3428    1  11   2
                70.25          3.80        1.3398   -3  11   2
                70.46          6.94        1.3363    2   6   3
                70.39          3.17        1.3374    5   3   2
                71.14          1.73        1.3252   -1   9   3
                70.98          1.18        1.3278   -5   9   2
                71.66          1.05        1.3169    1  13   1
                71.93          6.24        1.3126   -1   1   4
                71.60          7.31        1.3179   -7   5   1
                72.81          2.67        1.2988    0  12   2
                72.56          1.53        1.3027    6   8   0
                72.90         16.67        1.2974   -2  12   2
                73.67          2.33        1.2858   -1   3   4
                73.70          1.07        1.2854    6   6   1
                73.95          3.71        1.2816    0   0   4
                73.85          1.04        1.2831   -3   3   4
                74.42          1.97        1.2747    4  12   0
                74.31          5.39        1.2762   -4   0   4
                76.73          1.25        1.2418    0  10   3
                76.79          1.37        1.2411   -7   7   1
                77.32          1.26        1.2338    4   2   3
                78.44          1.18        1.2190    6   0   2
                79.59          8.58        1.2043   -5  11   2
                80.27          2.60        1.1957    8   0   0
                82.89          5.33        1.1645    2   0   4
                82.43          1.57        1.1697   -8   4   2
                86.02          1.87        1.1299    7   9   0
                87.32          1.16        1.1164    5   3   3
                86.93          2.30        1.1204   -6   4   4
                89.71          1.70        1.0927    3   1   4
                89.71          1.70        1.0927    3   1   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
