      Actinolite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060045
      Evans B W, Yang H
      American Mineralogist 83 (1998) 458-475
      Fe-Mg order-disorder in tremolite-actinolite-ferro-actinolite at ambient
      and high temperature
      Sample: C80, NMNH 168215, from Goose Creek Quarry, Leesburg, Virginia,
      in an alteration of hornblende, after heating at 700 C

      CELL PARAMETERS:   9.855000   18.06900   5.283000   90.00000   104.7900   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.79         30.69        9.0386    0   2   0
                10.50         84.86        8.4252    1   1   0
                17.35          2.65        5.1088    0   0   1
                17.41          6.12        5.0919    1   3   0
                18.16         24.05        4.8845   -1   1   1
                19.64         20.96        4.5193    0   4   0
                19.96          1.65        4.4475    0   2   1
                21.08          5.90        4.2126    2   2   0
                22.02          1.49        4.0341   -2   0   1
                22.28          3.50        3.9876    1   1   1
                22.90         16.12        3.8809   -1   3   1
                26.33         55.60        3.3831    1   3   1
                27.19         35.11        3.2779    2   4   0
                28.54         63.39        3.1264    3   1   0
                28.69          1.26        3.1098    2   0   1
                29.50          2.36        3.0267   -3   1   1
                30.34          3.83        2.9443   -1   5   1
                30.38         34.88        2.9406    2   2   1
                31.85         11.73        2.8084    3   3   0
                32.72         25.55        2.7355   -3   3   1
                33.06        100.00        2.7083    1   5   1
                34.54         38.68        2.5952    0   6   1
                35.11          5.24        2.5544    0   0   2
                35.36         60.75        2.5366   -2   0   2
                36.53          1.49        2.4581    0   2   2
                36.78          1.93        2.4422   -2   2   2
                37.23          1.42        2.4139   -2   6   1
                37.28          1.01        2.4106    3   1   1
                37.69          6.76        2.3853    3   5   0
                38.44         34.61        2.3402   -3   5   1
                38.71         13.60        2.3247   -4   2   1
                39.12         15.11        2.3014   -1   7   1
                39.53         18.88        2.2784   -3   1   2
                39.95          1.43        2.2555    3   3   1
                40.77          6.29        2.2120   -2   4   2
                41.33          4.75        2.1834    1   7   1
                41.71         32.09        2.1639    2   6   1
                42.08          3.82        2.1461   -3   3   2
                42.35          2.82        2.1329   -1   5   2
                44.28         17.33        2.0441    2   0   2
                44.88         14.97        2.0181    3   5   1
                44.91         10.74        2.0170   -4   0   2
                45.24          5.17        2.0032    3   7   0
                45.89          1.43        1.9763   -3   7   1
                46.16          5.19        1.9653    1   9   0
                46.83          3.25        1.9386   -3   5   2
                47.10          1.64        1.9283    4   2   1
                48.00          6.21        1.8940    5   1   0
                48.39          3.26        1.8799   -4   6   1
                48.73          8.59        1.8675   -1   9   1
                48.87          2.69        1.8625    2   4   2
                49.32          3.31        1.8466   -1   7   2
                49.45          3.37        1.8419   -4   4   2
                50.20          3.24        1.8160    5   3   0
                50.45          2.58        1.8077    0  10   0
                52.29          5.32        1.7484   -5   1   2
                53.22          1.78        1.7199   -5   5   1
                53.35          1.06        1.7162   -3   7   2
                53.75          1.75        1.7042    0  10   1
                54.24          1.02        1.6900    2  10   0
                54.33          6.51        1.6873   -2   8   2
                54.39          7.06        1.6857   -1   3   3
                54.56          1.48        1.6808   -3   9   1
                54.82          5.37        1.6735    0   2   3
                55.63         25.32        1.6510    4   6   1
                56.08          6.85        1.6389    4   8   0
                56.81         12.73        1.6194    1  11   0
                58.08          4.44        1.5871    6   0   0
                58.39         22.30        1.5794   -1   5   3
                59.07          1.10        1.5629    2  10   1
                59.23          1.05        1.5589   -5   7   1
                59.40          5.46        1.5549    4   0   2
                60.25         10.69        1.5350   -6   0   2
                60.93          4.13        1.5195    1   9   2
                61.17         20.97        1.5142   -2   6   3
                61.51         10.46        1.5064    0  12   0
                61.59          2.39        1.5047   -4   8   2
                61.69          5.47        1.5025    5   5   1
                62.62          1.52        1.4825    0   6   3
                63.11          2.10        1.4721   -2  10   2
                63.19          3.36        1.4703    4   4   2
                63.31          1.70        1.4679    2   2   3
                63.41          1.04        1.4659    3   7   2
                63.72          4.41        1.4594    3  11   0
                64.01          2.83        1.4535   -6   4   2
                64.09          3.05        1.4520   -1   7   3
                64.24          1.14        1.4489   -3  11   1
                64.71         29.12        1.4396   -6   6   1
                64.70          1.38        1.4397    4  10   0
                65.32          1.80        1.4275   -5   3   3
                66.79          1.05        1.3996    6   2   1
                68.73         11.43        1.3648    5   1   2
                68.94          4.76        1.3612   -5   5   3
                69.21          2.67        1.3565    7   1   0
                70.08          7.26        1.3417    1  11   2
                70.40          4.30        1.3365   -3  11   2
                70.51          2.57        1.3347    5   3   2
                70.55          5.34        1.3339    2   6   3
                71.27          2.15        1.3223   -5   9   2
