angle,intensity
5.0,63.0
5.01,62.0
5.02,64.0
5.03,64.0
5.04,51.0
5.05,60.0
5.06,47.0
5.07,54.0
5.08,57.0
5.09,70.0
5.1,60.0
5.11,56.0
5.12,54.0
5.13,59.0
5.14,65.0
5.15,61.0
5.16,72.0
5.17,54.0
5.18,55.0
5.19,58.0
5.2,48.0
5.21,61.0
5.22,55.0
5.23,61.0
5.24,69.0
5.25,55.0
5.26,50.0
5.27,61.0
5.28,70.0
5.29,54.0
5.3,71.0
5.31,72.0
5.32,56.0
5.33,58.0
5.34,57.0
5.35,51.0
5.36,83.0
5.37,66.0
5.38,54.0
5.39,59.0
5.4,64.0
5.41,71.0
5.42,55.0
5.43,56.0
5.44,58.0
5.45,76.0
5.46,64.0
5.47,53.0
5.48,60.0
5.49,69.0
5.5,59.0
5.51,71.0
5.52,54.0
5.53,63.0
5.54,60.0
5.55,61.0
5.56,80.0
5.57,78.0
5.58,58.0
5.59,60.0
5.6,63.0
5.61,69.0
5.62,77.0
5.63,68.0
5.64,56.0
5.65,52.0
5.66,66.0
5.67,68.0
5.68,71.0
5.69,66.0
5.7,66.0
5.71,65.0
5.72,71.0
5.73,60.0
5.74,66.0
5.75,67.0
5.76,85.0
5.77,61.0
5.78,63.0
5.79,59.0
5.8,63.0
5.81,80.0
5.82,65.0
5.83,78.0
5.84,70.0
5.85,62.0
5.86,73.0
5.87,66.0
5.88,64.0
5.89,58.0
5.9,69.0
5.91,72.0
5.92,53.0
5.93,72.0
5.94,69.0
5.95,73.0
5.96,71.0
5.97,58.0
5.98,78.0
5.99,66.0
6.0,78.0
6.01,60.0
6.02,79.0
6.03,80.0
6.04,66.0
6.05,62.0
6.06,81.0
6.07,71.0
6.08,91.0
6.09,63.0
6.1,70.0
6.11,64.0
6.12,77.0
6.13,69.0
6.14,67.0
6.15,61.0
6.16,81.0
6.17,73.0
6.18,60.0
6.19,88.0
6.2,68.0
6.21,69.0
6.22,65.0
6.23,79.0
6.24,68.0
6.25,75.0
6.26,79.0
6.27,85.0
6.28,71.0
6.29,63.0
6.3,55.0
6.31,70.0
6.32,64.0
6.33,83.0
6.34,68.0
6.35,66.0
6.36,76.0
6.37,67.0
6.38,71.0
6.39,83.0
6.4,76.0
6.41,92.0
6.42,76.0
6.43,60.0
6.44,73.0
6.45,77.0
6.46,78.0
6.47,76.0
6.48,68.0
6.49,59.0
6.5,58.0
6.51,71.0
6.52,61.0
6.53,74.0
6.54,71.0
6.55,62.0
6.56,75.0
6.57,74.0
6.58,77.0
6.59,83.0
6.6,65.0
6.61,67.0
6.62,65.0
6.63,71.0
6.64,63.0
6.65,64.0
6.66,70.0
6.67,73.0
6.68,63.0
6.69,67.0
6.7,65.0
6.71,62.0
6.72,71.0
6.73,83.0
6.74,67.0
6.75,86.0
6.76,73.0
6.77,78.0
6.78,69.0
6.79,57.0
6.8,65.0
6.81,70.0
6.82,80.0
6.83,81.0
6.84,61.0
6.85,64.0
6.86,68.0
6.87,71.0
6.88,84.0
6.89,61.0
6.9,66.0
6.91,68.0
6.92,72.0
6.93,58.0
6.94,64.0
6.95,54.0
6.96,62.0
6.97,69.0
6.98,81.0
6.99,71.0
7.0,65.0
7.01,56.0
7.02,55.0
7.03,68.0
7.04,64.0
7.05,66.0
7.06,61.0
7.07,78.0
7.08,51.0
7.09,68.0
7.1,62.0
7.11,69.0
7.12,75.0
7.13,75.0
7.14,70.0
7.15,57.0
7.16,57.0
7.17,71.0
7.18,61.0
7.19,81.0
7.2,72.0
7.21,48.0
7.22,51.0
7.23,61.0
7.24,65.0
7.25,64.0
7.26,71.0
7.27,67.0
7.28,56.0
7.29,52.0
7.3,58.0
7.31,55.0
7.32,56.0
7.33,59.0
7.34,55.0
7.35,72.0
7.36,63.0
7.37,58.0
7.38,61.0
7.39,56.0
7.4,67.0
7.41,84.0
7.42,82.0
7.43,54.0
7.44,73.0
7.45,60.0
7.46,39.0
7.47,73.0
7.48,59.0
7.49,66.0
7.5,60.0
7.51,64.0
7.52,67.0
7.53,58.0
7.54,69.0
7.55,68.0
7.56,60.0
7.57,57.0
7.58,62.0
7.59,66.0
7.6,54.0
7.61,64.0
7.62,68.0
7.63,72.0
7.64,65.0
7.65,48.0
7.66,66.0
7.67,66.0
7.68,60.0
7.69,63.0
7.7,60.0
7.71,58.0
7.72,64.0
7.73,58.0
7.74,60.0
7.75,64.0
7.76,70.0
7.77,66.0
7.78,52.0
7.79,73.0
7.8,64.0
7.81,50.0
7.82,47.0
7.83,75.0
7.84,67.0
7.85,47.0
7.86,67.0
7.87,66.0
7.88,67.0
7.89,53.0
7.9,72.0
7.91,69.0
7.92,63.0
7.93,51.0
7.94,52.0
7.95,53.0
7.96,70.0
7.97,51.0
7.98,61.0
7.99,78.0
8.0,54.0
8.01,50.0
8.02,54.0
8.03,47.0
