      Diopside
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060085
      Gordon W A, Peacor D R, Brown P E, Essene E J, Allard L F
      American Mineralogist 66 (1981) 127-141
      Exsolution relationships in a clinopyroxene of average composition
      Ca0.43Mn0.69Mg0.82Si2O6: X-ray diffraction and analytical electron microscopy

      CELL PARAMETERS:   9.760000   8.930000   5.270000   90.00000   106.4400   90.00000
      SPACE GROUP: C2/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                19.97          1.92        4.4545    0   2   0
                20.18          2.09        4.4090   -1   1   1
                24.40          2.03        3.6530    1   1   1
                26.71         12.07        3.3414    0   2   1
                27.68         31.01        3.2260    2   2   0
                29.90        100.00        2.9912   -2   2   1
                30.39         31.49        2.9436    3   1   0
                30.92         37.30        2.8948   -3   1   1
                35.03         31.72        2.5629   -1   3   1
                35.40          1.83        2.5369   -2   0   2
                35.56         42.40        2.5264    0   0   2
                35.80         39.31        2.5098    2   2   1
                39.27         16.29        2.2953    3   1   1
                40.79          9.42        2.2130    1   1   2
                40.96          1.46        2.2045   -2   2   2
                41.09          8.67        2.1976    0   2   2
                42.03          8.14        2.1507    3   3   0
                42.43         22.44        2.1314   -3   3   1
                42.95          8.66        2.1066   -4   2   1
                43.72          1.45        2.0709    4   2   0
                44.47         17.47        2.0380    0   4   1
                44.92         13.52        2.0184   -4   0   2
                45.10          1.25        2.0110    2   4   0
                45.30          8.35        2.0026    2   0   2
                46.12          5.80        1.9688   -1   3   2
                49.12          2.28        1.8550    3   3   1
                49.80          5.55        1.8313    5   1   0
                49.94          4.35        1.8265    2   2   2
                50.40          3.19        1.8108    1   3   2
                51.66          1.35        1.7696    4   2   1
                52.27         13.76        1.7503    1   5   0
                53.21          1.28        1.7217   -5   1   2
                53.65          1.14        1.7086    3   1   2
                54.86          1.27        1.6737   -2   4   2
                54.96          4.01        1.6707    0   4   2
                55.29          5.34        1.6616   -3   1   3
                56.60         17.71        1.6262   -2   2   3
                56.70         15.81        1.6235   -5   3   1
                57.10          3.53        1.6130    4   4   0
                58.28          1.55        1.5832    5   3   0
                59.26          4.13        1.5594    6   0   0
                59.77          5.02        1.5471    3   5   0
                60.49          5.22        1.5305   -6   0   2
                60.75          1.95        1.5244   -6   2   1
                61.00          6.07        1.5190    4   0   2
                61.36          1.06        1.5107   -5   3   2
                61.67         13.47        1.5040   -1   3   3
                62.35          2.11        1.4891    2   4   2
                62.55          5.74        1.4848    0   6   0
                63.27          1.04        1.4697   -3   3   3
                63.84          1.05        1.4578    4   4   1
                64.36          2.71        1.4474   -6   2   2
                65.52          2.12        1.4246    0   6   1
                65.82         20.07        1.4187    5   3   1
                66.35          8.85        1.4086   -3   5   2
                66.55          3.65        1.4050    1   5   2
                67.47          3.76        1.3880    2   2   3
                68.22          1.49        1.3745   -2   4   3
                68.22          1.13        1.3746   -7   1   1
                70.03          1.37        1.3434    0   4   3
                70.78          6.58        1.3309   -7   1   2
                71.55          3.78        1.3185   -5   3   3
                71.34          1.30        1.3218    7   1   0
                71.26          2.97        1.3230    6   2   1
                71.34          1.15        1.3218    5   1   2
                73.39          3.62        1.2898   -3   1   4
                73.58          1.18        1.2870   -1   1   4
                73.95          2.41        1.2815   -2   6   2
                74.04          7.00        1.2801    0   6   2
                74.84          2.31        1.2685   -4   0   4
                75.20          3.30        1.2632    0   0   4
                76.48          7.59        1.2452    3   5   2
                78.79          1.13        1.2143   -7   1   3
                78.90          1.60        1.2129    1   7   1
                82.44          1.59        1.1696    8   0   0
                84.15          2.88        1.1501   -6   0   4
                88.29          1.38        1.1065    2   2   4
                88.29          1.38        1.1065    2   2   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
