      Catapleiite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060198
      Ilyushin G D, Voronkov A A, Ilyukhin V V, Nevskii N N, Belov N V
      Doklady Akademii Nauk SSSR 260 (1981) 623-627
      Crystal structure of natural monoclinic catapleiite, Na2ZrSi3O9*2H2O

      CELL PARAMETERS:   7.378000   12.77900   10.09600   90.00000   90.00000   90.00000
      SPACE GROUP: B2/b
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                13.87         75.76        6.4222    1   1   0
                13.89         24.24        6.4149    0   2   0
                14.90         13.63        5.9784    1   0   1
                16.44         45.29        5.4190    1   1   1
                16.45         22.30        5.4146    0   2   1
                17.65          1.63        5.0485    0   0   2
                20.39          7.83        4.3736    1   2   1
                22.48         71.87        3.9690    1   1   2
                22.49         24.10        3.9673    0   2   2
                24.07          5.00        3.7093    2   0   0
                24.10         17.18        3.7051    1   3   0
                27.86         10.55        3.2111    2   2   0
                27.89          5.94        3.2075    0   4   0
                29.21          4.21        3.0650    1   0   3
                29.26         53.03        3.0601    2   2   1
                29.29         28.07        3.0569    0   4   1
                29.96         19.79        2.9892    2   0   2
                29.99         50.93        2.9870    1   3   2
                30.05         16.85        2.9811    1   1   3
                30.05          8.82        2.9804    0   2   3
                32.44          1.94        2.7656    1   2   3
                33.13         41.49        2.7095    2   2   2
                33.16         19.14        2.7073    0   4   2
                35.63         12.93        2.5243    0   0   4
                37.09          4.87        2.4282    3   1   0
                37.12          3.89        2.4262    2   4   0
                37.14          5.15        2.4250    1   5   0
                38.38          1.81        2.3493    1   1   4
                40.15          2.58        2.2494    3   2   1
                40.78          3.88        2.2159    1   4   3
                41.32          2.10        2.1882    3   1   2
                41.35          1.04        2.1868    2   4   2
                41.36          2.20        2.1859    1   5   2
                43.42          1.61        2.0869    2   0   4
                43.44          4.58        2.0861    1   3   4
                45.08          1.65        2.0134    1   6   1
                45.78         24.93        1.9845    2   2   4
                45.80         12.88        1.9836    0   4   4
                46.11         21.33        1.9709    3   3   2
                46.16          8.80        1.9690    0   6   2
                47.24          1.09        1.9264    1   1   5
                47.85          1.46        1.9031    3   2   3
                49.18         11.65        1.8546    4   0   0
                49.24         25.61        1.8525    2   6   0
                50.58          2.82        1.8063    3   3   3
                50.62          1.09        1.8049    0   6   3
                51.33          1.52        1.7817    4   2   0
                51.36          2.24        1.7806    3   5   0
                51.40          2.48        1.7793    1   7   0
                52.33         13.51        1.7500    3   1   4
                52.35         10.72        1.7492    2   4   4
                52.36         12.52        1.7488    1   5   4
                52.62          2.43        1.7409    4   0   2
                52.68          4.87        1.7391    2   6   2
                53.66          1.02        1.7095    2   2   5
                54.67          2.18        1.6801    4   2   2
                54.71          3.23        1.6792    3   5   2
                54.74          3.30        1.6782    1   7   2
                55.20          1.03        1.6653    1   4   5
                56.40          1.25        1.6327    3   3   4
                56.58          5.26        1.6279    1   1   6
                56.58          2.01        1.6278    0   2   6
                57.44          1.75        1.6056    4   4   0
                57.77          1.02        1.5971    3   6   1
                58.23          2.48        1.5856    4   4   1
                58.30          1.31        1.5839    0   8   1
                60.45          1.16        1.5325    2   0   6
                60.46          3.41        1.5322    1   3   6
                60.55          6.64        1.5301    4   4   2
                60.62          3.78        1.5285    0   8   2
                62.14          3.95        1.4946    4   0   4
                62.19          7.52        1.4935    2   6   4
                62.33          9.20        1.4906    2   2   6
                62.35          4.79        1.4902    0   4   6
                63.86          1.41        1.4584    5   1   1
                63.93          1.61        1.4571    3   7   1
                63.95          1.60        1.4566    2   8   1
                64.00          1.68        1.4556    4   2   4
                64.03          2.20        1.4550    3   5   4
                64.06          2.01        1.4543    1   7   4
                66.07          5.03        1.4148    5   1   2
                66.14          5.52        1.4136    3   7   2
                66.16          3.74        1.4132    2   8   2
                66.76          1.22        1.4018    5   3   0
                66.86          1.19        1.3999    1   9   0
                67.81          1.12        1.3826    1   5   6
                69.40          4.82        1.3547    4   4   4
                69.46          2.06        1.3536    0   8   4
                69.64          2.39        1.3507    5   3   2
                69.68          1.82        1.3500    4   6   2
                69.74          2.47        1.3490    1   9   2
                69.67          2.25        1.3501    5   1   3
                69.74          1.97        1.3490    3   7   3
                69.76          2.21        1.3487    2   8   3
                71.31          3.40        1.3230    3   3   6
                71.35          1.48        1.3224    0   6   6
                71.76          2.50        1.3158    2   2   7
                71.78          1.29        1.3155    0   4   7
                73.79          1.44        1.2844    5   5   0
                75.32          3.82        1.2621    0   0   8
                77.02          1.59        1.2384    1   1   8
                77.17          1.28        1.2364    6   0   0
                77.27          2.96        1.2350    3   9   0
                78.14          1.07        1.2234    4   2   6
                78.17          1.39        1.2230    3   5   6
                78.20          1.40        1.2226    1   7   6
                81.56          3.32        1.1804    6   2   2
                81.64          3.38        1.1795    4   8   2
                81.69          3.28        1.1790    2  10   2
                82.05          1.25        1.1747    2   2   8
                83.17          3.13        1.1617    4   4   6
                83.23          1.66        1.1610    0   8   6
                84.68          4.12        1.1448    5   5   4
                84.77          1.99        1.1437    0  10   4
                87.01          1.55        1.1199    3   1   8
                87.03          1.30        1.1197    2   4   8
                87.04          1.63        1.1196    1   5   8
                88.05          1.63        1.1094    3   9   4
                88.11          1.92        1.1088    5   1   6
                88.17          2.05        1.1082    3   7   6
                88.19          1.50        1.1080    2   8   6
                88.19          1.50        1.1080    2   8   6
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

