      Pyromorphite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060285
      Dai Y S, Hughes J M
      The Canadian Mineralogist 27 (1989) 189-192
      Crystal-structure refinements of vanadinite and pyromorphite

      CELL PARAMETERS:   9.976400   9.976400   7.351100   90.00000   90.00000   120.0000
      SPACE GROUP: P6_3/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.77          9.50        4.9926    1   1   0
                20.55         28.17        4.3237    2   0   0
                21.53         44.29        4.1289    1   1   1
                23.88          1.95        3.7260    2   0   1
                24.24          6.68        3.6720    0   0   2
                26.37         30.04        3.3799    1   0   2
                27.28         15.80        3.2684    1   2   0
                27.28         19.64        3.2684    2   1   0
                29.92         40.99        2.9861    1   2   1
                29.92         50.23        2.9861    2   1   1
                30.21        100.00        2.9581    1   1   2
                31.02         53.45        2.8825    3   0   0
                35.97          2.71        2.4963    2   2   0
                36.80          1.19        2.4414    1   2   2
                39.74          6.01        2.2674    3   0   2
                41.05         15.57        2.1980    1   1   3
                41.77          6.10        2.1619    4   0   0
                43.84         37.30        2.0644    2   2   2
                45.14         11.97        2.0080    3   1   2
                45.14          8.34        2.0080    1   3   2
                45.72          7.09        1.9839    2   3   0
                45.72          2.59        1.9839    3   2   0
                46.32         15.10        1.9594    1   2   3
                46.32         12.08        1.9594    2   1   3
                47.45         13.81        1.9152    2   3   1
                47.45          9.56        1.9152    3   2   1
                48.20          9.67        1.8870    1   4   0
                48.20         14.76        1.8870    4   1   0
                48.87         31.05        1.8630    4   0   2
                49.63         12.72        1.8360    0   0   4
                53.13          2.10        1.7232    1   1   4
                54.25          3.63        1.6900    2   0   4
                54.66          2.97        1.6784    1   4   2
                54.66          1.68        1.6784    4   1   2
                55.16          1.18        1.6642    3   3   0
                56.26          3.56        1.6342    2   4   0
                56.26          2.11        1.6342    4   2   0
                56.69          5.78        1.6231    3   3   1
                57.55          6.14        1.6008    1   2   4
                57.55          3.76        1.6008    2   1   4
                59.01          5.28        1.5646    5   0   2
                59.49          1.53        1.5531    1   5   0
                59.49          2.55        1.5531    5   1   0
                59.68         12.97        1.5486    3   0   4
                59.99          3.36        1.5413    2   3   3
                59.99          5.84        1.5413    3   2   3
                60.94          6.27        1.5195    5   1   1
                60.94          4.19        1.5195    1   5   1
                61.11         10.70        1.5158    3   3   2
                62.79          1.08        1.4791    2   2   4
                66.30          2.13        1.4091    1   1   5
                66.81          3.26        1.3994    4   0   4
                67.62          1.08        1.3847    2   5   0
                68.09          2.58        1.3763    3   3   3
                68.98          1.90        1.3607    2   5   1
                68.98          3.45        1.3607    5   2   1
                69.75          2.87        1.3475    2   3   4
                69.75          1.25        1.3475    3   2   4
                70.10          7.25        1.3416    6   0   2
                70.21          2.55        1.3398    1   2   5
                70.21          4.52        1.3398    2   1   5
                71.07          4.49        1.3258    3   4   2
                71.07          1.49        1.3258    4   3   2
                71.50          1.41        1.3187    1   6   0
                71.50          1.17        1.3187    6   1   0
                71.68          6.34        1.3159    1   4   4
                71.68          7.70        1.3159    4   1   4
                71.96          2.80        1.3115    5   1   3
                71.96          2.78        1.3115    1   5   3
                72.83          2.59        1.2980    1   6   1
                72.83          1.62        1.2980    6   1   1
                72.98          6.87        1.2956    2   5   2
                72.98          5.81        1.2956    5   2   2
                76.24          2.31        1.2482    4   4   0
                78.27          2.61        1.2207    4   2   4
                78.27          2.42        1.2207    2   4   4
                78.95          1.36        1.2119    1   0   6
                79.47          1.22        1.2053    2   5   3
                79.47          2.59        1.2053    5   2   3
                80.80          5.99        1.1888    1   1   6
                81.04          1.55        1.1858    1   5   4
                81.04          2.26        1.1858    5   1   4
                81.48          1.34        1.1805    3   2   5
                81.48          2.96        1.1805    2   3   5
                82.30          1.05        1.1709    3   5   2
                82.30          1.94        1.1709    7   0   2
                83.15          1.03        1.1610    6   1   3
                83.15          1.38        1.1610    1   6   3
                88.79          1.48        1.1012    3   3   5
                89.02          4.27        1.0990    2   2   6
                89.93          1.39        1.0902    1   3   6
                89.93          1.12        1.0902    3   1   6
                89.93          1.12        1.0902    3   1   6
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
