      Sussexite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern R060289.
      Hoffmann C, Armbruster T
      Schweizerische Mineralogische und Petrographische Mitteilungen 75 (1995) 123-133
      Crystal structure of a (001) twinned sussexite Mn2B2O4(OH)2 from the Kalahari
      Manganese Field South Africa
      Locality: Nchwaning II Mine, Kalahari Manganese Field, South Africa

      CELL PARAMETERS:   3.174579   10.59707   12.67979   90.00000   96.09042   90.00000
      SPACE GROUP: P2_1/c
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.87          1.45        8.1123    0   1   1
                14.01        100.00        6.3041    0   0   2
                16.32          5.16        5.4179    0   1   2
                16.69         13.02        5.2985    0   2   0
                18.12          2.30        4.8847    0   2   1
                22.71         16.88        3.9067    0   1   3
                26.15         15.85        3.4014    0   3   1
                27.03         29.58        3.2927    0   2   3
                28.22          2.91        3.1567    1   0   0
                29.47          4.71        3.0253    1   1   0
                28.92         21.10        3.0816    0   3   2
                29.51          2.14        3.0212    0   1   4
                30.24          6.35        2.9507   -1   0   2
                31.42         13.47        2.8426   -1   1   2
                32.97          5.72        2.7119    1   2   0
                33.09         55.20        2.7024   -1   2   1
                33.07         24.13        2.7041    0   3   3
                34.09         16.29        2.6253    1   1   2
                34.40         38.68        2.6029    1   2   1
                33.78         10.36        2.6493    0   4   0
                34.74         29.65        2.5779   -1   2   2
                34.54          1.75        2.5927    0   4   1
                37.21         14.72        2.4126    1   2   2
                36.57         39.72        2.4531    0   1   5
                36.74         10.86        2.4424    0   4   2
                38.33          1.93        2.3449    1   1   3
                37.74         14.27        2.3796   -1   2   3
                38.18         21.54        2.3538    1   3   0
                38.28          3.08        2.3475   -1   3   1
                38.08          1.29        2.3591   -1   0   4
                38.21          3.88        2.3518    0   3   4
                39.06          9.90        2.3028   -1   1   4
                40.18          3.12        2.2412    0   4   3
                41.17          8.73        2.1896    1   2   3
                41.96          1.99        2.1500    1   3   2
                42.56          2.30        2.1208    1   0   4
                41.85          2.69        2.1552   -1   2   4
                42.44          1.03        2.1266   -1   3   3
                43.45         10.70        2.0796    1   1   4
                42.98          8.74        2.1014    0   0   6
                43.22          1.56        2.0901    0   5   1
                44.06          5.85        2.0523    0   3   5
                44.68          8.12        2.0253   -1   4   1
                44.61          8.67        2.0281    0   4   4
                45.57          1.46        1.9877    1   3   3
                46.03          2.91        1.9689    1   2   4
                45.06          4.66        2.0089    0   5   2
                45.70          1.13        1.9824    1   4   1
                45.97          2.16        1.9713   -1   4   2
                46.21          4.96        1.9618   -1   3   4
                46.42          4.97        1.9534    0   2   6
                46.84          1.33        1.9368   -1   2   5
                47.96          1.62        1.8944    1   4   2
                50.10          9.44        1.8183    1   3   4
                49.42          1.97        1.8417   -1   0   6
                50.21         11.95        1.8145   -1   1   6
                50.46          1.19        1.8060    0   3   6
                50.86          1.47        1.7929   -1   3   5
                51.39          5.72        1.7757    0   1   7
                51.89         17.66        1.7596    1   5   0
                51.82          3.15        1.7618   -1   4   4
                52.89          2.07        1.7288    1   5   1
                53.13         12.70        1.7214   -1   5   2
                54.93          6.81        1.6694    1   5   2
                55.66          9.27        1.6491    1   1   6
                55.32          1.86        1.6584   -1   5   3
                55.76          1.95        1.6464    0   4   6
                56.13          6.47        1.6364   -1   4   5
                56.26         14.47        1.6331   -1   3   6
                56.66          4.96        1.6225    0   5   5
                57.83          2.10        1.5923    1   2   6
                56.68          1.88        1.6218   -1   1   7
                58.39         17.16        1.5783    2   0   0
                57.35          2.63        1.6046    0   3   7
                57.93          1.71        1.5899    1   5   3
                58.70          8.40        1.5708   -2   0   2
                59.10          1.48        1.5611    2   1   0
                58.49          1.88        1.5760    0   0   8
                59.19          1.79        1.5589    0   1   8
                60.39         11.34        1.5308    1   4   5
                60.01          3.99        1.5396   -1   6   1
                59.96          4.48        1.5408    0   6   4
                62.04          1.00        1.4942    2   0   2
                61.34         10.48        1.5094    1   3   6
                60.85          5.13        1.5205    1   6   1
