      Strengite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060409
      Taxer K, Bartl H
      Crystal Research and Technology 39 (2004) 1080-1088
      On the dimorphy between the variscite and clinovariscite group: refined
      finestructural relationship of strengite and clinostrengite, Fe(PO4)*2H2O
      Locality: Kreuzberg, Pleystein, Barvaria
      Note: x(O3) corrected to match reported bond lengths

      CELL PARAMETERS:   8.722000   9.878000   10.11870   90.00000   90.00000   90.00000
      SPACE GROUP: Pbca
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                16.17         68.15        5.4873    1   1   1
                17.61          4.83        5.0414    0   0   2
                18.13         32.96        4.8964    0   2   0
                20.18          5.64        4.4045    0   2   1
                20.32        100.00        4.3730    1   0   2
                20.22          1.34        4.3942    2   0   0
                22.19         34.79        4.0091    2   1   0
                22.59         13.50        3.9377    1   2   1
                23.90         21.86        3.7254    2   1   1
                25.37          1.18        3.5124    0   2   2
                26.93          3.33        3.3125    2   0   2
                27.35         15.07        3.2616    1   2   2
                28.71         61.35        3.1108    2   2   1
                29.90         39.11        2.9894    1   1   3
                30.54         36.88        2.9281    1   3   1
                32.31          1.01        2.7710    0   2   3
                33.14          2.31        2.7038    3   1   1
                34.28          2.38        2.6158    1   3   2
                34.22          4.76        2.6204    2   3   0
                35.40         33.52        2.5361    2   3   1
                35.62         25.22        2.5207    0   0   4
                35.44          5.77        2.5329    3   0   2
                36.71          3.30        2.4482    0   4   0
                36.65         19.58        2.4522    3   1   2
                36.85          4.06        2.4392    3   2   1
                37.10          1.18        2.4230    1   0   4
                38.27          3.94        2.3521    1   1   4
                38.73          2.01        2.3251    2   3   2
                39.23          1.20        2.2964    1   4   1
                39.84          4.73        2.2627    1   3   3
                40.24          1.96        2.2412    0   2   4
                40.98          1.30        2.2023    0   4   2
                41.58          3.49        2.1717    1   2   4
                42.30          1.31        2.1362    1   4   2
                42.25          1.96        2.1387    2   4   0
                42.35          5.08        2.1340    2   1   4
                42.41         17.61        2.1310    3   3   1
                42.15          1.20        2.1438    4   1   0
                43.24          4.89        2.0921    2   4   1
                43.80         11.33        2.0665    2   3   3
                45.00          4.30        2.0141    4   0   2
                45.42          6.72        1.9965    2   2   4
                45.23          1.00        2.0045    4   2   0
                46.00          2.86        1.9728    4   1   2
                46.16          8.48        1.9661    4   2   1
                46.68          1.35        1.9456    1   3   4
                47.06          4.61        1.9305    1   4   3
                47.58          5.08        1.9107    3   0   4
                48.46          4.67        1.8782    1   5   1
                49.34          1.69        1.8468    3   4   1
                49.99          2.50        1.8240    1   2   5
                49.84          7.39        1.8291    3   3   3
                50.66          9.00        1.8015    2   1   5
                51.04          2.62        1.7889    2   5   0
                50.90          4.18        1.7936    4   3   1
                51.90          2.05        1.7614    2   5   1
                52.06          3.25        1.7562    0   4   4
                51.93          2.68        1.7603    3   4   2
                53.36          3.04        1.7165    2   2   5
                53.19          3.13        1.7216    4   2   3
                54.48          3.09        1.6838    1   3   5
                54.60          1.15        1.6805    0   0   6
                55.67          6.26        1.6506    1   0   6
                55.34          3.10        1.6597    5   0   2
                56.35          5.94        1.6321    0   6   0
                56.32          4.28        1.6331    4   1   4
                56.34          7.60        1.6325    5   2   1
                57.04          7.59        1.6141    4   4   1
                57.30          2.05        1.6074    3   5   1
                57.66          9.14        1.5981    2   3   5
                57.50          3.53        1.6022    4   3   3
                58.20          1.26        1.5847    1   6   1
                59.04          3.87        1.5641    1   2   6
                58.84          2.53        1.5689    4   2   4
                59.36          2.82        1.5565    0   4   5
                58.72          1.63        1.5719    5   2   2
                59.66         11.51        1.5494    3   5   2
                60.53          8.57        1.5291    1   6   2
                60.79          1.05        1.5232    1   5   4
                60.13          1.03        1.5382    5   1   3
                62.74          1.92        1.4804    3   3   5
                62.56          9.19        1.4843    5   2   3
                63.46          1.95        1.4653    3   5   3
                63.77          1.36        1.4589    2   5   4
                63.62          3.02        1.4620    4   5   0
                63.49          2.56        1.4647    6   0   0
                64.62          7.13        1.4418    3   1   6
                64.28          2.06        1.4486    6   1   0
                65.65          3.06        1.4217    4   2   5
                66.43          4.12        1.4067    1   1   7
                66.06          1.05        1.4137    5   4   1
                68.52          1.15        1.3688    1   7   1
                68.45          6.03        1.3700    0   6   4
                68.54          1.27        1.3686    1   4   6
                70.32          2.04        1.3382    2   5   5
                70.17          1.08        1.3406    4   5   3
                71.34          1.20        1.3215    2   7   1
                71.27          1.38        1.3226    4   1   6
                71.80          4.34        1.3141    5   4   3
                72.50          2.70        1.3032    1   3   7
                73.03          1.47        1.2949    6   2   3
                74.17          3.65        1.2778    1   7   3
                74.70          3.12        1.2701    4   4   5
                75.08          1.55        1.2647    4   5   4
                74.95          2.09        1.2664    6   0   4
                75.69          3.03        1.2560    6   1   4
                77.63          1.26        1.2293    1   4   7
                77.99          1.10        1.2246    3   7   2
                78.42          1.65        1.2189    2   6   5
                78.47          2.85        1.2183    7   0   2
                79.19          3.18        1.2090    7   1   2
                81.64          1.66        1.1788    1   8   2
                81.67          1.36        1.1784    2   7   4
                82.44          1.62        1.1694    3   5   6
                82.13          1.39        1.1730    6   5   0
                83.20          2.16        1.1606    1   6   6
                82.58          1.02        1.1677    7   1   3
                84.16          2.00        1.1497    3   1   8
                84.16          2.00        1.1497    3   1   8
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
