      Manganotantalite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060415
      Grice J D, Ferguson R B, Hawthorne F C
      The Canadian Mineralogist 14 (1976) 540-549
      The crystal structures of tantalite, ixiolite and wodginite
      from Bernic lake, Manitoba I. Tantalite and ixiolite
      Locality: Bernic lake, Manitoba, Canada

      CELL PARAMETERS:   14.41300   5.760000   5.084000   90.00000   90.00000   90.00000
      SPACE GROUP: Pbcn
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                12.32         14.30        7.1930    2   0   0
                16.58          4.37        5.3489    1   1   0
                24.15         25.87        3.6859    3   1   0
                24.16         15.53        3.6833    1   1   1
                24.76          6.62        3.5965    4   0   0
                29.95        100.00        2.9832    3   1   1
                31.04          8.93        2.8810    0   2   0
                33.50          1.10        2.6745    2   2   0
                35.33         15.51        2.5398    0   0   2
                35.82         16.82        2.5060    0   2   1
                37.50          9.57        2.3977    6   0   0
                37.55          1.82        2.3949    2   0   2
                38.01          1.91        2.3665    2   2   1
                39.22          1.11        2.2961    5   1   1
                40.17          1.55        2.2444    3   0   2
                40.61          2.38        2.2210    3   2   1
                43.25          7.97        2.0914    3   1   2
                43.61          1.99        2.0746    4   0   2
                44.03          3.24        2.0561    4   2   1
                47.72          6.79        1.9052    0   2   2
                47.75          1.20        1.9038    1   3   0
                49.43          6.40        1.8429    6   2   0
                50.43          3.28        1.8088    7   1   1
                51.21         13.43        1.7830    3   3   0
                52.46         14.55        1.7435    6   0   2
                52.82         19.78        1.7324    6   2   1
                54.48          1.11        1.6835    4   2   2
                57.02          1.20        1.6142    1   1   3
                60.03          1.03        1.5403    9   1   0
                60.11         12.91        1.5386    3   1   3
                60.77          1.25        1.5233    1   3   2
                62.21          4.81        1.4916    6   2   2
                63.03         11.37        1.4740    9   1   1
                63.72          6.11        1.4597    0   2   3
                63.74         12.35        1.4593    3   3   2
                67.56          5.49        1.3859    0   4   1
                71.61          2.03        1.3170    9   1   2
                73.14          1.09        1.2932    4   4   1
                74.40          1.03        1.2744    7   1   3
                74.71          1.49        1.2699    0   0   4
                76.33          2.82        1.2468    6   2   3
                77.67          3.08        1.2286    9   3   0
                77.70          1.12        1.2282    7   3   2
                79.84          1.14        1.2006    3   1   4
                79.98          1.97        1.1988   12   0   0
                79.90          5.65        1.1998    6   4   1
                83.06          1.02        1.1620    0   2   4
                85.10          3.65        1.1394    9   1   3
                86.71          2.80        1.1222    6   0   4
                86.88          1.38        1.1205    3   5   0
                88.31          4.71        1.1060    9   3   2
                89.21          1.93        1.0972    0   4   3
                89.51          2.09        1.0942    3   5   1
                89.51          2.09        1.0942    3   5   1
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
