      Scheelite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060417
      Hazen R M, Finger L W, Mariathasan J W E
      Journal of Physics and Chemistry of Solids 46 (1985) 253-263
      High-pressure crystal chemistry of scheelite-type tungstates and molybdates
      Note: P = 0.0001 GPa, in air

      CELL PARAMETERS:   5.244292   5.244292   11.37589   90.00000   90.00000   90.00000
      ALTERNATE SETTING FOR SPACE GROUP: I4_1/a
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                18.64         60.52        4.7626    1   0   1
                28.74        100.00        3.1064    1   1   2
                29.06         23.43        3.0728    1   0   3
                31.45         13.60        2.8440    0   0   4
                34.19         20.32        2.6221    2   0   0
                39.21         12.99        2.2970    2   1   1
                39.21          3.83        2.2970    1   2   1
                39.94          1.45        2.2567    1   1   4
                43.34          4.50        2.0872    1   0   5
                45.46          2.57        1.9946    2   1   3
                45.46          7.03        1.9946    1   2   3
                47.13         29.69        1.9278    2   0   4
                49.12         12.77        1.8541    2   2   0
                52.97          2.97        1.7278    3   0   1
                54.32         15.75        1.6881    1   1   6
                56.31          3.61        1.6330    2   1   5
                56.31          4.42        1.6330    1   2   5
                57.89         14.46        1.5921    3   1   2
                57.89         11.33        1.5921    1   3   2
                58.08          2.12        1.5875    3   0   3
                59.49         11.04        1.5532    2   2   4
                59.52          1.92        1.5523    1   0   7
                64.56          3.34        1.4428    3   2   1
                64.56          1.49        1.4428    2   3   1
                65.62          1.83        1.4220    0   0   8
                67.54          2.64        1.3862    3   0   5
                69.13          2.74        1.3580    2   3   3
                69.13          1.63        1.3580    3   2   3
                70.45          1.95        1.3358    2   1   7
                70.45          2.06        1.3358    1   2   7
                71.99          3.39        1.3111    4   0   0
                75.11          1.69        1.2641    1   4   1
                75.11          1.09        1.2641    4   1   1
                76.10          6.13        1.2500    2   0   8
                76.23          4.53        1.2483    3   1   6
                76.23          6.94        1.2483    1   3   6
                77.66          1.43        1.2288    1   0   9
                79.26          5.08        1.2079    3   3   2
                79.42          1.63        1.2059    4   1   3
                79.42          1.07        1.2059    1   4   3
                80.65          4.62        1.1906    4   0   4
                80.68          1.55        1.1902    3   0   7
                82.15          2.39        1.1727    2   4   0
                82.15          2.52        1.1727    4   2   0
                86.13          3.82        1.1284    2   2   8
                86.13          3.82        1.1284    2   2   8
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

