      Uvarovite
      Diffraction data computed using the structure from the paper listed below, 
      along with the cell parameters refined from single crystal data of R060477
      Wildner M, Andrut M
      American Mineralogist 86 (2001) 1231-1251
      The crystal chemistry of birefringent natural uvarovites: Part II.
      Single-crystal X-ray structures
      Sample: Ska-1
      _database_code_amcsd 0002725

      CELL PARAMETERS:  11.9204 11.9204 11.9204   90.000   90.000   90.000
      SPACE GROUP: I-1       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.12514  -0.00024   0.25007     1.000     0.442
            Ca     0.37506  -0.00017   0.74998     1.000     0.442
            Ca     0.25012   0.12498   0.00000     1.000     0.442
            Ca     0.75014   0.37491  -0.00009     1.000     0.442
            Ca    -0.00003   0.25016   0.12501     1.000     0.442
            Ca     0.00011   0.75006   0.37495     1.000     0.442
            Cr     0.00000   0.00000   0.00000     0.746     0.324
            Al     0.00000   0.00000   0.00000     0.254     0.324
            Cr     0.50000   0.00000   0.50000     0.347     0.292
            Al     0.50000   0.00000   0.50000     0.653     0.292
            Cr     0.00000   0.50000   0.50000     0.431     0.316
            Al     0.00000   0.50000   0.50000     0.569     0.316
            Cr     0.50000   0.50000   0.00000     0.526     0.292
            Al     0.50000   0.50000   0.00000     0.474     0.292
            Cr     0.75000   0.25000   0.25000     0.483     0.316
            Al     0.75000   0.25000   0.25000     0.517     0.316
            Cr     0.75000   0.75000   0.75000     0.722     0.308
            Al     0.75000   0.75000   0.75000     0.278     0.308
            Cr     0.25000   0.25000   0.75000     0.709     0.316
            Al     0.25000   0.25000   0.75000     0.291     0.316
            Cr     0.25000   0.75000   0.25000     0.280     0.276
            Al     0.25000   0.75000   0.25000     0.720     0.276
            Si     0.37519  -0.00085   0.25005     1.000     0.316
            Si     0.12518  -0.00052   0.74975     1.000     0.316
            Si     0.24957   0.37549   0.00001     1.000     0.316
            Si     0.74930   0.12542  -0.00040     1.000     0.316
            Si    -0.00039   0.25029   0.37519     1.000     0.316
            Si     0.00086   0.74925   0.12516     1.000     0.316
            O      0.03883   0.04655   0.65277     1.000     0.442
            O      0.46161  -0.04652   1.15259     1.000     0.418
            O     -0.03863   0.54557  -0.15223     1.000     0.450
            O      0.53897   0.45257  -0.65358     1.000     0.426
            O      0.65230   0.03907   0.04603     1.000     0.426
            O      1.15216   0.46157  -0.04633     1.000     0.418
            O     -0.15311  -0.03832   0.54684     1.000     0.426
            O     -0.65379   0.53901   0.45298     1.000     0.434
            O      0.04659   0.65203   0.03842     1.000     0.434
            O     -0.04678   1.15310   0.46142     1.000     0.434
