      Jeremejevite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060533
      Rodellas C, Garcia-Blanco S, Vegas A
      Zeitschrift fur Kristallographie 165 (1983) 255-260
      Crystal structure refinement of jeremejevite (Al6B5F3O15)
      Locality: Cape Cross, Namibia

      CELL PARAMETERS:   8.556000   8.556000   8.175000   90.00000   90.00000   120.0000
      SPACE GROUP: P6_3/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                11.95         13.42        7.4101    1   0   0
                20.76        100.00        4.2783    1   1   0
                21.73         20.37        4.0890    0   0   2
                23.47         44.74        3.7909    1   1   1
                24.02          1.92        3.7051    2   0   0
                24.87         19.41        3.5801    1   0   2
                26.40          3.81        3.3749    2   0   1
                31.94         24.48        2.8008    1   2   0
                31.94          2.58        2.8008    2   1   0
                32.60          1.68        2.7456    2   0   2
                33.82         32.86        2.6497    1   2   1
                33.82          6.00        2.6497    2   1   1
                35.06         13.70        2.5584    1   0   3
                36.36         19.20        2.4700    3   0   0
                38.04          1.09        2.3645    3   0   1
                39.17         20.67        2.2990    1   1   3
                41.09         60.85        2.1957    2   0   3
                42.23          2.57        2.1391    2   2   0
                42.75         26.35        2.1142    3   0   2
                43.72          5.56        2.0695    2   2   1
                44.04         53.21        2.0552    1   3   0
                46.03          1.79        1.9709    1   0   4
                46.46          9.44        1.9535    1   2   3
                46.46         25.77        1.9535    2   1   3
                47.97          6.86        1.8954    2   2   2
                49.16          5.30        1.8525    4   0   0
                49.38          1.93        1.8447    1   1   4
                49.62          2.27        1.8363    3   1   2
                49.79          2.35        1.8304    3   0   3
                50.49          3.35        1.8068    4   0   1
                50.99          1.08        1.7901    2   0   4
                53.90          7.51        1.7000    2   3   0
                54.34          2.36        1.6874    4   0   2
                54.50         42.23        1.6829    2   2   3
                55.63          1.04        1.6513    1   2   4
                56.01          3.67        1.6411    3   1   3
                56.91          1.14        1.6170    1   4   0
                56.91          2.65        1.6170    4   1   0
                57.69          1.75        1.5972    1   0   5
                58.12          1.35        1.5863    1   4   1
                58.12          7.24        1.5863    4   1   1
                58.58          5.15        1.5750    3   0   4
                60.38          1.01        1.5322    4   0   3
                60.57         11.28        1.5278    1   1   5
                61.65          1.73        1.5037    1   4   2
                61.65          6.08        1.5037    4   1   2
                64.57          8.71        1.4425    3   2   3
                65.40         11.13        1.4261    3   3   0
                66.12          1.76        1.4124    1   2   5
                66.76          5.31        1.4004    4   2   0
                67.14          1.44        1.3933    5   0   2
                67.28          7.94        1.3908    1   4   3
                67.28         40.59        1.3908    4   1   3
                68.80          1.14        1.3637    3   0   5
                68.84         13.43        1.3630    0   0   6
                69.80         11.13        1.3465    3   3   2
                71.12          1.36        1.3248    2   4   2
                72.73          4.26        1.2993    2   2   5
                72.78          5.20        1.2987    1   1   6
                74.81          3.80        1.2683    4   1   4
                75.14          1.71        1.2636    3   3   3
                76.41          5.06        1.2456    4   2   3
                77.19          3.29        1.2350    6   0   0
                77.86          3.52        1.2261    4   0   5
                77.90          1.22        1.2256    1   2   6
                78.46          1.05        1.2182    4   3   0
                80.21          1.97        1.1960    5   1   3
                80.42          5.26        1.1934    3   0   6
                81.33          1.55        1.1823    6   0   2
                82.00          1.31        1.1743    2   5   1
                83.76          1.18        1.1540    1   0   7
                84.13          2.90        1.1499    4   1   5
                85.41          3.34        1.1359    1   3   6
                86.45          1.48        1.1250    6   0   3
                86.45          1.48        1.1250    6   0   3
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
