      Stillwellite-(Ce)
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060899
      Burns P C, Hawthorne F C, MacDonald D J, Ventura G D, Parodi G
      The Canadian Mineralogist 31 (1993) 147-152
      The crystal structure of stillwellite

      CELL PARAMETERS:   6.841000   6.841000   6.702000   90.00000   90.00000   120.0000
      SPACE GROUP: P3_1
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                19.95         18.56        4.4516    0   1   1
                19.95         81.43        4.4516    1   0   1
                25.96         80.87        3.4318    1   1   0
                29.22          5.63        3.0561    2  -1   1
                29.22          5.55        3.0561    1   1   1
                30.06         73.68        2.9720    2   0   0
                30.56         84.10        2.9242    0   1   2
                30.56         15.90        2.9242    1   0   2
                32.95         11.17        2.7179    0   2   1
                32.95          1.31        2.7179    2   0   1
                37.45          8.17        2.4004    1   1   2
                37.45          8.44        2.4004    2  -1   2
                40.12          8.89        2.2466    1   2   0
                40.12          8.73        2.2466    2   1   0
                40.26         15.39        2.2392    0   0   3
                40.51          4.44        2.2258    0   2   2
                40.51         19.01        2.2258    2   0   2
                42.41         20.79        2.1306   -1   3   1
                42.41         21.26        2.1306    1   2   1
                42.41          7.98        2.1306    2   1   1
                42.41          8.43        2.1306    3  -1   1
                43.15          2.74        2.0954    0   1   3
                43.15          3.47        2.0954    1   0   3
                45.77          4.94        1.9813    3   0   0
                47.84         13.72        1.9004    3   0   1
                48.52          9.60        1.8753    2  -1   3
                48.52          9.63        1.8753    1   1   3
                48.74         10.43        1.8674   -1   3   2
                48.74         10.44        1.8674    1   2   2
                48.74         22.55        1.8674    2   1   2
                48.74         22.54        1.8674    3  -1   2
                51.04          3.75        1.7884    0   2   3
                51.04          1.76        1.7884    2   0   3
                53.37          5.44        1.7159    2   2   0
                53.68         15.37        1.7065    0   3   2
                55.22          3.51        1.6625    4  -2   1
                55.22          3.47        1.6625    2   2   1
                55.73         11.91        1.6486    1   3   0
                55.73         11.81        1.6486    3   1   0
                56.95          2.47        1.6161    0   1   4
                56.95         10.13        1.6161    1   0   4
                57.53          1.20        1.6011    3   1   1
                57.53          1.13        1.6011    4  -1   1
                58.13          1.29        1.5860    1   2   3
                58.13          1.26        1.5860   -1   3   3
                58.13          1.69        1.5860    2   1   3
                58.13          1.69        1.5860    3  -1   3
                60.56          6.06        1.5280    4  -2   2
                60.56          6.14        1.5280    2   2   2
                61.43          3.06        1.5085    1   1   4
                61.43          3.17        1.5085    2  -1   4
                62.75          2.13        1.4799   -1   4   2
                62.75          2.06        1.4799    1   3   2
                63.60          5.93        1.4621    0   2   4
                63.60          1.71        1.4621    2   0   4
                64.15          5.35        1.4509    0   4   1
                68.80          2.37        1.3637    2   3   0
                68.80          2.41        1.3637    3   2   0
                68.90          1.09        1.3620    2   2   3
                68.90          1.05        1.3620    4  -2   3
                69.08         10.02        1.3590    4   0   2
                69.89          3.86        1.3451    3  -1   4
                69.89          5.85        1.3451    1   2   4
                69.89          3.65        1.3451    2   1   4
                69.89          5.73        1.3451   -1   3   4
                70.41          1.82        1.3364    2   3   1
                70.41          1.80        1.3364   -2   5   1
                70.95          2.76        1.3276    1   3   3
                70.95          2.38        1.3276    4  -1   3
                70.95          2.35        1.3276    3   1   3
                70.95          2.76        1.3276   -1   4   3
                72.02          3.08        1.3105    0   1   5
                73.94          5.72        1.2811    3   0   4
                74.45          2.76        1.2736    4   1   1
                74.45          2.77        1.2736    5  -1   1
                75.15          1.28        1.2635    2   3   2
                75.15          3.90        1.2635    3   2   2
                75.15          3.93        1.2635    5  -2   2
                75.15          1.28        1.2635   -2   5   2
                78.00          1.46        1.2242    2   0   5
                79.10          5.76        1.2100    1   4   2
                79.10          5.76        1.2100   -1   5   2
                79.87          3.56        1.2002    2   2   4
                79.87          3.55        1.2002    4  -2   4
                80.79          6.37        1.1888    5   0   0
                81.82          1.37        1.1765    3   1   4
                81.82          1.33        1.1765    4  -1   4
                83.85          1.18        1.1531   -1   3   5
                83.85          1.59        1.1531    2   1   5
                83.85          1.15        1.1531    1   2   5
                83.85          1.52        1.1531    3  -1   5
                84.67          1.01        1.1439    3   3   0
                86.60          1.13        1.1233    2   4   0
                86.60          1.13        1.1233    4   2   0
                86.96          2.53        1.1196    0   0   6
                87.62          5.76        1.1129    0   4   4
                87.71          1.03        1.1120    0   3   5
                87.71          1.03        1.1120    0   3   5
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
