      Piemontite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060905
      Dollase W A
      American Mineralogist 54 (1969) 710-717
      Crystal structure and cation ordering of piemontite

      CELL PARAMETERS:   8.878000   5.692000   10.20100   90.00000   115.4000   90.00000
      SPACE GROUP: P2_1/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.56          1.04        9.2698    0   0   1
                11.00          2.88        8.0580    1   0   0
                11.11          8.03        7.9744   -1   0   1
                17.60         26.21        5.0427   -1   0   2
                19.09          3.47        4.6532    1   1   0
                19.15          2.56        4.6369   -1   1   1
                22.07         12.97        4.0290    2   0   0
                22.31         19.48        3.9872   -2   0   2
                23.40          4.34        3.8032    1   1   1
                23.56          1.31        3.7767   -1   1   2
                25.42         34.61        3.5050   -2   1   1
                25.92          9.24        3.4385    1   0   2
                27.62          9.32        3.2297    2   0   1
                28.90          3.04        3.0899    0   0   3
                30.36          1.73        2.9442    1   1   2
                30.49          1.23        2.9322   -3   0   1
                30.62         13.51        2.9200   -3   0   2
                30.58        100.00        2.9237   -1   1   3
                31.39         38.93        2.8498    0   2   0
                31.85          7.14        2.8099    2   1   1
                32.18          2.30        2.7816   -2   1   3
                32.97         29.82        2.7164    0   1   3
                33.35         22.74        2.6867    1   2   0
                33.36         15.82        2.6860    3   0   0
                34.39         44.57        2.6074   -3   1   1
                34.51          2.00        2.5988   -3   1   2
                35.15         18.80        2.5532    2   0   2
                35.49          2.95        2.5290   -1   0   4
                36.20          8.69        2.4810   -1   2   2
                37.03         22.32        2.4276    0   2   2
                37.32         27.31        2.4090   -3   1   3
                37.48          2.95        2.3990   -2   2   1
                38.84         10.31        2.3185   -2   2   2
                38.64          1.50        2.3301    2   1   2
                38.71          5.21        2.3258    1   1   3
                38.96          2.66        2.3117   -1   1   4
                39.06          4.68        2.3058   -2   1   4
                39.16          2.39        2.2999   -3   0   4
                41.30          7.31        2.1856   -1   2   3
                41.66         16.63        2.1678   -4   0   1
                41.92          2.12        2.1547   -4   0   3
                42.08          1.61        2.1468    0   1   4
                42.29         17.64        2.1369    2   2   1
                42.55         17.58        2.1243   -2   2   3
                43.18         15.41        2.0948    0   2   3
                43.80          6.50        2.0663    2   0   3
                44.31          1.76        2.0436   -3   2   1
                44.99          5.04        2.0145    4   0   0
                45.31          1.01        2.0009   -1   0   5
                46.27          1.04        1.9617   -3   0   5
                46.75          3.71        1.9426    2   1   3
                47.82         10.39        1.9016    2   2   2
                48.09          5.36        1.8916   -1   2   4
                48.18         12.52        1.8884   -2   2   4
                47.92          3.45        1.8978    1   1   4
                48.19          2.87        1.8879   -1   1   5
                48.48          3.48        1.8771    3   1   2
                49.26          1.76        1.8491    1   3   0
                50.58          1.24        1.8039    3   2   1
                50.76          2.14        1.7980    0   2   4
                51.56          5.11        1.7721   -5   0   2
                51.84          1.72        1.7630    0   1   5
                52.18          2.62        1.7525   -4   2   2
                52.35          4.31        1.7470   -2   3   1
                53.56          5.53        1.7103   -4   1   5
                53.81          3.18        1.7030   -2   0   6
                54.18          1.86        1.6922   -5   1   2
                54.32          1.46        1.6883   -5   1   3
                54.58          3.22        1.6809   -3   0   6
                55.35         11.20        1.6592   -1   3   3
                55.32          1.30        1.6600    1   0   5
                55.62         10.93        1.6519   -1   0   6
                55.87          2.96        1.6450    4   2   0
                55.98         10.95        1.6420   -5   1   1
                55.91          5.79        1.6440    1   2   4
                55.83          2.33        1.6460    2   1   4
                56.30         16.32        1.6336   -4   2   4
                56.15          1.15        1.6375    2   3   1
                56.38          1.14        1.6314   -5   1   4
                56.36          1.55        1.6317   -2   1   6
                56.41          5.38        1.6304    3   2   2
                56.87          4.80        1.6184    0   3   3
                57.84         10.76        1.5934   -4   0   6
                57.81          9.80        1.5944   -3   3   1
