      Painite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R060957
      Moore P B, Araki T
      American Mineralogist 61 (1976) 88-94
      Painite, CaZrB[Al9O18]: Its crystal structure and relation to jeremejevite,
      B5[X3Al6(OH)3O15], and fluoborite, B3[Mg9(F,OH)9O9]

      CELL PARAMETERS:   8.725840   8.725840   8.471620   90.00000   90.00000   120.0000
      SPACE GROUP: P6_3
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                11.74         31.31        7.5568    1   0   0
                15.74         81.47        5.6393    1   0   1
                20.38          2.21        4.3629    1   1   0
                20.99          5.65        4.2358    0   0   2
                24.11         67.00        3.6949    1   0   2
                25.84         28.07        3.4507    2   0   1
                29.40         20.79        3.0391    1   1   2
                31.33          5.89        2.8562    1   2   0
                31.75         37.93        2.8196    2   0   2
                33.11         14.01        2.7065    1   2   1
                33.11          7.80        2.7065    2   1   1
                33.90          4.77        2.6452    1   0   3
                35.65        100.00        2.5189    3   0   0
                37.96         31.44        2.3706    1   1   3
                38.00          9.11        2.3681    1   2   2
                38.00         20.80        2.3681    2   1   2
                39.86          7.60        2.2619    2   0   3
                41.39          5.07        2.1815    2   2   0
                41.72          5.81        2.1650    3   0   2
                42.69          4.66        2.1179    0   0   4
                43.17         22.15        2.0959    1   3   0
                44.53          7.47        2.0345    1   3   1
                44.53          8.03        2.0345    3   1   1
                45.15         20.51        2.0081    1   2   3
                45.15         50.02        2.0081    2   1   3
                46.84          2.48        1.9394    2   2   2
                47.73         17.86        1.9053    1   1   4
                48.16          6.92        1.8892    4   0   0
                48.42          3.47        1.8798    3   0   3
                48.46          2.90        1.8785    1   3   2
                48.46          4.96        1.8785    3   1   2
                49.32          1.26        1.8475    2   0   4
                49.42          5.06        1.8439    4   0   1
                52.80          3.55        1.7336    2   3   0
                53.04         41.98        1.7263    2   2   3
                53.07          4.25        1.7254    4   0   2
                53.98          4.23        1.6984    2   3   1
                53.98          9.59        1.6984    3   2   1
                54.52          3.17        1.6830    1   3   3
                54.52         20.59        1.6830    3   1   3
                55.58          1.89        1.6533    1   0   5
                56.78         16.71        1.6211    3   0   4
                57.42         11.91        1.6045    2   3   2
                57.42          4.58        1.6045    3   2   2
                58.79          7.44        1.5702    4   0   3
                59.81          2.86        1.5460    2   0   5
                60.21          1.22        1.5367    4   1   2
                60.96          6.19        1.5196    2   2   4
                62.40          1.37        1.4879    5   0   1
                62.89          2.55        1.4774    2   3   3
                63.86          3.70        1.4572    1   2   5
                63.86          1.32        1.4572    2   1   5
                64.00         24.96        1.4543    3   3   0
                65.32          3.23        1.4281    4   2   0
                65.53         29.34        1.4240    4   1   3
                65.53         13.16        1.4240    1   4   3
                65.56          2.68        1.4235    5   0   2
                66.16         15.47        1.4119    0   0   6
                66.36          4.04        1.4082    4   2   1
                67.46          3.73        1.3879    1   0   6
                68.15          1.23        1.3755    3   3   2
                69.20          1.07        1.3572    5   1   0
                69.43          1.90        1.3533    2   4   2
                70.02          1.80        1.3433    1   1   6
                70.21          3.60        1.3402    1   5   1
                70.21          1.96        1.3402    5   1   1
                71.28          1.23        1.3226    2   0   6
                71.59          1.71        1.3176    1   3   5
                71.59          1.10        1.3176    3   1   5
                72.64          3.08        1.3011    1   4   4
                72.64          2.44        1.3011    4   1   4
                73.17          1.43        1.2929    3   3   3
                73.20          2.45        1.2925    5   1   2
                73.20          1.73        1.2925    1   5   2
                74.41          1.62        1.2744    4   2   3
                74.41          4.25        1.2744    2   4   3
                75.01          3.39        1.2657    1   2   6
                75.01          1.06        1.2657    2   1   6
                75.32          1.29        1.2614    4   0   5
                75.45         11.39        1.2595    6   0   0
                77.46         11.52        1.2316    3   0   6
                78.09          1.49        1.2233    1   5   3
                78.98          1.28        1.2117    2   3   5
                78.98          2.45        1.2117    3   2   5
                79.33          1.18        1.2072    6   0   2
                80.00          3.74        1.1989    3   3   4
                80.31          1.23        1.1950    1   0   7
                82.30          1.72        1.1710    3   1   6
                85.90          4.55        1.1310    4   0   6
                87.70          1.28        1.1122    5   2   3
                89.47          1.44        1.0948    3   2   6
                89.77          1.42        1.0920    4   2   5
                89.77          1.42        1.0920    4   2   5
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

