      Anhydrite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R061102
      Hawthorne F C, Ferguson R B
      The Canadian Mineralogist 13 (1975) 289-292
      Anhydrous sulphates. II. Refinement of the crystal structure of anhydrite

      CELL PARAMETERS:   7.003933   6.995572   6.241718   90.00000   90.00000   90.00000
      SPACE GROUP: Amma
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                22.93          8.87        3.8782    1   1   1
                25.47         98.76        3.4978    0   2   0
                25.44        100.00        3.5020    2   0   0
                28.60          3.97        3.1209    0   0   2
                31.38         60.16        2.8507    1   0   2
                31.97          5.89        2.7990    2   1   1
                36.29         13.95        2.4748    2   2   0
                38.65         33.96        2.3287    0   2   2
                38.63          2.43        2.3299    2   0   2
                40.82         38.88        2.2097    1   2   2
                41.32         12.21        2.1844    0   3   1
                43.34         12.23        2.0871    3   1   1
                45.47          9.02        1.9942    0   1   3
                46.83          6.36        1.9391    2   2   2
                48.69         27.77        1.8694    3   0   2
                49.14          6.07        1.8534    2   3   1
                52.29         10.57        1.7489    0   4   0
                52.22         10.25        1.7510    4   0   0
                55.73         27.63        1.6487    3   2   2
                57.77          4.75        1.5951    3   3   1
                59.01          3.90        1.5646    2   4   0
                58.96          3.64        1.5658    4   2   0
                60.67          5.48        1.5257    0   4   2
                60.78          1.02        1.5231    1   0   4
                61.11          1.26        1.5157    1   3   3
                62.25          9.86        1.4907    1   4   2
                65.46          4.01        1.4251    0   2   4
                65.45          1.56        1.4253    2   0   4
                65.76          1.77        1.4192    2   3   3
                66.85          1.46        1.3987    2   4   2
                66.81          1.91        1.3995    4   2   2
                66.98          3.93        1.3964    1   2   4
                68.66          1.40        1.3662    4   3   1
                71.43          9.09        1.3199    2   2   4
                72.87          3.15        1.2973    3   0   4
                74.21         10.00        1.2771    3   4   2
                74.16          3.41        1.2780    5   0   2
                77.02          1.88        1.2374    4   4   0
                78.61          7.41        1.2164    3   2   4
                79.86          4.33        1.2004    5   2   2
                82.72          3.98        1.1659    0   6   0
                82.60          3.98        1.1673    6   0   0
                82.86          1.72        1.1643    0   4   4
                84.25          1.90        1.1486    1   4   4
                88.29          3.36        1.1062    2   6   0
                88.18          3.36        1.1073    6   2   0
                88.42          4.37        1.1049    2   4   4
                88.38          4.60        1.1053    4   2   4
                88.38          4.60        1.1053    4   2   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

