      Hastingsite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R070124
      Makino K, Tomita K
      American Mineralogist 74 (1989) 1097-1105
      Cation distribution in the octahedral sites of hornblendes
      sample O-H from Obira, Japan

      CELL PARAMETERS:   9.923757   18.18729   5.330122   90.00000   104.9799   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.73          1.78        9.0936    0   2   0
                10.44         55.62        8.4805    1   1   0
                17.22          7.89        5.1490    0   0   1
                17.31         13.59        5.1238    1   3   0
                18.51         38.29        4.7933    2   0   0
                19.52          4.99        4.5468    0   4   0
                19.81          2.77        4.4806    0   2   1
                20.95          3.64        4.2403    2   2   0
                21.82          5.15        4.0724   -2   0   1
                22.15         22.17        4.0130    1   1   1
                23.94          4.61        3.7167   -2   2   1
                26.14         16.73        3.4082    0   4   1
                26.17         85.67        3.4044    1   3   1
                26.20          7.62        3.4009    1   5   0
                27.02         42.24        3.2988    2   4   0
                28.35         52.01        3.1473    3   1   0
                29.24         11.12        3.0535   -3   1   1
                29.43          9.04        3.0335   -2   4   1
                29.46          3.66        3.0312    0   6   0
                30.20         41.76        2.9581    2   2   1
                31.64         31.49        2.8268    3   3   0
                32.45         42.95        2.7583   -3   3   1
                32.85        100.00        2.7252    1   5   1
                34.31         86.89        2.6122    0   6   1
                34.80          8.02        2.5772    2   4   1
                34.83          1.40        2.5745    0   0   2
                35.01          1.64        2.5619    2   6   0
                35.03         99.89        2.5607   -2   0   2
                35.79          2.18        2.5077    1   7   0
                36.25          1.15        2.4771    0   2   2
                36.82          3.01        2.4396   -1   3   2
                36.95          5.87        2.4316   -2   6   1
                37.44         12.10        2.4007    3   5   0
                37.51         13.17        2.3966    4   0   0
                38.14         36.89        2.3583   -3   5   1
                38.39         19.19        2.3439   -4   2   1
                38.84          1.88        2.3175    4   2   0
                38.85         10.87        2.3171   -1   7   1
                39.14         14.68        2.3003   -3   1   2
                39.71          5.52        2.2688    3   3   1
                40.23          1.52        2.2403    0   4   2
                40.41         10.16        2.2312   -2   4   2
                41.07          2.04        2.1968    1   7   1
                41.46         55.83        2.1769    2   6   1
                41.68         11.50        2.1659   -3   3   2
                42.01          6.86        2.1497   -1   5   2
                42.20          4.31        2.1403   -4   4   1
                43.99         31.86        2.0572    2   0   2
                44.47         25.45        2.0362   -4   0   2
                44.61         20.41        2.0301    3   5   1
                44.94          1.73        2.0159    3   7   0
                45.54          1.00        1.9906   -3   7   1
                45.87          3.81        1.9774    1   9   0
                46.24          1.58        1.9623    0   6   2
                46.39          1.10        1.9561   -2   6   2
                46.41          5.51        1.9554   -3   5   2
                47.67          3.31        1.9067    5   1   0
                48.01         14.67        1.8940   -4   6   1
                48.40          2.36        1.8798   -1   9   1
                48.54          2.16        1.8745   -5   3   1
                48.99          3.99        1.8584   -4   4   2
                50.11          1.96        1.8194    4   4   1
                50.13          8.18        1.8187    0  10   0
                50.27          3.21        1.8138    1   9   1
                51.78          4.11        1.7645   -5   1   2
                51.85          1.99        1.7624   -1   1   3
                52.79          3.82        1.7330   -5   5   1
                53.40          1.01        1.7149    0  10   1
                53.76          1.11        1.7041    0   8   2
                53.89          5.60        1.7004    2  10   0
                53.90          3.53        1.7001   -2   8   2
                53.91          9.47        1.6997   -1   3   3
                54.16          3.65        1.6925   -3   9   1
                54.37          6.14        1.6866    0   2   3
                55.28         32.72        1.6608    4   6   1
                55.69          4.06        1.6494    4   8   0
                55.77          1.87        1.6473   -2   4   3
                56.44         16.65        1.6293    1  11   0
                57.35          1.62        1.6057    0   4   3
                57.66          9.61        1.5978    6   0   0
                57.88         22.75        1.5921   -1   5   3
                59.02          9.74        1.5641    4   0   2
                59.67         16.02        1.5487   -6   0   2
                59.81          1.69        1.5454   -3   5   3
                60.50          3.56        1.5293    1   9   2
                60.61         29.51        1.5268   -2   6   3
                61.05          2.40        1.5168   -4   8   2
                61.11         10.84        1.5156    0  12   0
                61.18          1.11        1.5140   -4   4   3
                61.29          7.32        1.5115    5   5   1
                62.11          5.27        1.4935    0   6   3
                62.48          1.77        1.4855    0  10   2
                62.61          7.33        1.4828   -2  10   2
                62.79          3.13        1.4790    4   4   2
                62.80          2.16        1.4787    1   5   3
                63.29          6.48        1.4685    3  11   0
                63.41          1.56        1.4660   -6   4   2
                63.54          1.67        1.4632   -1   7   3
                64.00          1.24        1.4539    0  12   1
                64.18         32.69        1.4503   -6   6   1
                64.25          4.25        1.4488    4  10   0
                64.64          3.48        1.4410   -5   3   3
                65.77          3.75        1.4189   -4   6   3
                66.06          1.39        1.4134    6   6   0
                68.23          5.14        1.3736   -5   5   3
                68.28         10.44        1.3728    5   1   2
                68.69          3.46        1.3656    7   1   0
                68.86          2.56        1.3626    2  10   2
                69.22          2.49        1.3564   -4  10   2
                69.58          9.35        1.3502    1  11   2
                69.82          6.46        1.3462   -3  11   2
                70.04          2.91        1.3425    5   3   2
                70.04          1.08        1.3426   -6   2   3
                70.03          8.87        1.3427    2   6   3
                70.63          1.59        1.3327   -5   9   2
                70.69          2.02        1.3318   -1   9   3
                71.13          1.01        1.3245    1  13   1
                71.36          9.56        1.3209   -7   5   1
                71.53          5.20        1.3182   -1   1   4
                72.29          1.48        1.3061    0  12   2
                72.41         13.96        1.3043   -2  12   2
                73.25          3.00        1.2913   -1   3   4
                73.52          5.50        1.2872    0   0   4
                73.79          1.46        1.2833    3   5   3
                73.94          1.94        1.2810    4  12   0
                73.99          7.96        1.2803   -4   0   4
                76.99          1.23        1.2376   -2  14   1
                78.07          2.11        1.2233    6   0   2
                79.16          9.82        1.2091   -5  11   2
                80.02          3.25        1.1983    8   0   0
                81.03          1.36        1.1859    4  10   2
                81.59          2.32        1.1791   -6  10   2
                81.63          1.23        1.1787    7   5   1
                82.20          1.20        1.1720   -8   4   2
                82.38          5.88        1.1698    2   0   4
                83.57          1.33        1.1561    2  10   3
                85.61          1.30        1.1337    7   9   0
                86.58          1.95        1.1235   -6   4   4
                86.82          1.28        1.1210    5   3   3
                87.90          2.24        1.1100    0  16   1
                89.16          1.94        1.0976    3   1   4
                89.44          1.78        1.0949   -2  16   1
                90.11          2.62        1.0884    4  12   2
                90.11          2.94        1.0884    5   5   3
                90.26          2.27        1.0871    4  14   1
                90.27          1.85        1.0869   -7   1   4
                90.27          1.85        1.0869   -7   1   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

