      Vivianite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R070331
      Mori H, Ito T
      Acta Crystallographica 3 (1950) 1-6
      The structure of vivianite and symplesite
      Locality: Ashio, Japan

      CELL PARAMETERS:   10.09932   13.44402   4.676496   90.00000   104.9164   90.00000
      SPACE GROUP: C2/m
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                11.22         33.23        7.8976    1   1   0
                13.19        100.00        6.7220    0   2   0
                18.19         59.22        4.8795    2   0   0
                19.66         26.90        4.5189    0   0   1
                20.52          3.38        4.3303   -1   1   1
                21.83         19.03        4.0725    1   3   0
                23.14         41.70        3.8455   -2   0   1
                24.66          1.40        3.6113    1   1   1
                26.71          2.49        3.3379   -2   2   1
                27.88         33.14        3.2011   -1   3   1
                28.23          2.91        3.1618    3   1   0
                30.22         28.71        2.9576    2   0   1
                30.17         18.68        2.9620   -3   1   1
                31.10          1.43        2.8755    1   3   1
                32.34          8.22        2.7679    2   4   0
                33.09         29.21        2.7072    2   2   1
                33.22         16.71        2.6969    0   4   1
                34.05          8.79        2.6325    3   3   0
                34.60          1.32        2.5922    1   5   0
                35.47         19.07        2.5307   -2   4   1
                35.71          7.99        2.5138   -3   3   1
                37.09          9.78        2.4234   -4   0   1
                38.85          7.11        2.3180   -1   5   1
                39.11          5.12        2.3029   -1   1   2
                39.28          1.80        2.2934    4   2   0
                39.52          1.89        2.2798   -4   2   1
                40.63         19.51        2.2203    2   4   1
                41.31          9.69        2.1850    1   5   1
                41.71          2.11        2.1651   -2   2   2
                42.19          4.52        2.1417    0   2   2
                42.98          2.47        2.1041   -3   1   2
                43.91          2.06        2.0617    1   1   2
                43.66          9.26        2.0725    3   5   0
                44.48          1.51        2.0362    2   6   0
                45.02          1.59        2.0131   -3   5   1
                45.16          2.27        2.0074    0   6   1
                46.17          2.60        1.9657   -4   4   1
                46.15          3.54        1.9663   -5   1   1
                46.63          2.20        1.9475    4   0   1
                46.92          2.44        1.9360   -2   6   1
                47.03          1.17        1.9316    5   1   0
                47.23          9.84        1.9240   -3   3   2
                47.26          8.03        1.9228   -4   0   2
                48.09          5.10        1.8914    1   3   2
                48.55          2.47        1.8746    2   0   2
                48.28          2.08        1.8844    1   7   0
                48.66          2.59        1.8706    4   2   1
                50.53          1.05        1.8057    2   2   2
                50.19          5.02        1.8170   -5   3   1
                51.02          1.01        1.7894    5   3   0
                51.41          6.38        1.7766    3   5   1
                51.60          2.39        1.7708   -1   7   1
                51.81          6.17        1.7640   -1   5   2
                54.43          2.42        1.6850    4   4   1
                54.59          7.89        1.6805    0   8   0
                54.97         10.97        1.6698   -3   5   2
                55.75         10.08        1.6483    1   5   2
                56.16          2.59        1.6371    2   4   2
                56.35          1.01        1.6322    5   1   1
                57.65          2.72        1.5983   -5   3   2
                57.65          8.96        1.5984   -5   5   1
                58.02          1.76        1.5889    2   8   0
                58.35          3.53        1.5809    6   2   0
                58.40          6.91        1.5795    5   5   0
                58.58          1.07        1.5751    0   8   1
                59.15          1.56        1.5613    3   3   2
                59.89          3.14        1.5437    5   3   1
                60.06          2.45        1.5399   -2   8   1
                61.00          5.78        1.5183   -6   0   2
                61.90          3.32        1.4983   -6   4   1
                62.81          7.84        1.4788    4   0   2
                62.92          1.03        1.4766    1   9   0
                63.48          3.79        1.4649   -1   3   3
                63.68          1.57        1.4608   -4   0   3
                63.66          4.26        1.4611    2   8   1
                64.49          1.02        1.4443    4   2   2
                65.42          1.28        1.4260    1   1   3
                65.34          1.70        1.4274   -4   2   3
                65.94          1.49        1.4160    3   5   2
                66.12          2.88        1.4125   -2   4   3
                66.64          2.70        1.4028    5   5   1
                67.83          1.25        1.3810   -4   8   1
                69.90          1.08        1.3450    2   0   3
                70.03          8.11        1.3429   -1   5   3
                69.94          4.44        1.3444    0  10   0
                70.18          3.22        1.3404   -3   9   1
                70.74          1.99        1.3312    7   3   0
                71.04          2.72        1.3263   -3   5   3
                73.90          1.31        1.2818   -6   0   3
                74.71          3.21        1.2699   -7   5   1
                76.86          1.24        1.2397    7   1   1
                76.79          1.48        1.2406   -8   2   1
                77.01          4.47        1.2377    7   5   0
                78.03          2.66        1.2239    2  10   1
                82.49          1.93        1.1687   -2   0   4
                84.39          1.05        1.1472   -7   3   3
                86.30          1.86        1.1266   -6   8   2
                87.90          2.06        1.1102    4   8   2
                88.67          1.11        1.1025   -4   8   3
                89.34          1.01        1.0960   -8   0   3
                89.34          1.01        1.0960   -8   0   3
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

