      Ferrocolumbite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for RS207-05
      Tarantino S C, Zema M
      American Mineralogist 90 (2005) 1291-1300
      Mixing and ordering behavior in manganocolumbite-ferrocolumbite solid solution:
      A single-crystal X-ray diffraction study
      Sample: AMB n3 Qm=1 from Ambatofotsikely, Madagascar

      CELL PARAMETERS:   14.35016   5.751910   5.099658   90.00000   90.00000   90.00000
      SPACE GROUP: Pbcn
      X-RAY WAVELENGTH:     1.541838
               2-THETA      INTENSITY    D-SPACING   H   K   L
                12.37          4.90        7.1751    2   0   0
                16.64          1.47        5.3390    1   1   0
                24.16          7.22        3.6877    1   1   1
                24.22         25.96        3.6778    3   1   0
                24.84          3.68        3.5875    4   0   0
                29.97        100.00        2.9830    3   1   1
                31.12          9.41        2.8760    0   2   0
                35.21         12.97        2.5498    0   0   2
                35.86         13.49        2.5051    0   2   1
                37.62          6.55        2.3917    6   0   0
                40.08          2.95        2.2501    3   0   2
                40.67          5.42        2.2192    3   2   1
                43.18          7.41        2.0955    3   1   2
                44.10          1.22        2.0539    4   2   1
                47.67          6.91        1.9079    0   2   2
                49.57          6.31        1.8389    6   2   0
                50.54          1.72        1.8059    7   1   1
                51.34         12.83        1.7797    3   3   0
                52.45         15.79        1.7444    6   0   2
                52.93         20.37        1.7299    6   2   1
                54.62          1.21        1.6803    3   3   1
                59.94         13.00        1.5430    3   1   3
                62.23          4.78        1.4915    6   2   2
                63.19         10.83        1.4712    9   1   1
                63.57          7.28        1.4634    0   2   3
                63.76         11.52        1.4594    3   3   2
                67.68          5.26        1.3840    0   4   1
                71.69          1.93        1.3160    9   1   2
                74.39          1.39        1.2749    0   0   4
                76.25          1.84        1.2483    6   2   3
                77.90          2.68        1.2259    9   3   0
                79.55          1.10        1.2046    3   1   4
                80.08          5.35        1.1979    6   4   1
                80.25          2.11        1.1958   12   0   0
                82.78          1.09        1.1655    0   2   4
                85.07          3.41        1.1399    9   1   3
                86.46          3.01        1.1251    6   0   4
                87.10          1.38        1.1185    3   5   0
                88.45          4.54        1.1049    9   3   2
                89.16          1.91        1.0979    0   4   3
                89.16          1.91        1.0979    0   4   3
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.

