      Vigezzite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R120132
      Giuseppetti G, Tadini P
      Neues Jahrbuch fur Mineralogie, Monatshefte 1990 (1990) 301-308
      The crystal structure of vigezzite, (Ca,Ce)(Nb,Ta,Ti)2O6,
      intermediate term of the aeschynite series
      Locality: Vigezzo Valley, Novara, Italy
      _database_code_amcsd 0014844

      CELL PARAMETERS:  11.1370  7.5760  5.3766   90.000   90.000   90.000
      SPACE GROUP: Pnma      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.45650   0.25000   0.03910     0.750     0.940
            Ce     0.45650   0.25000   0.03910     0.250     0.940
            Nb     0.35870   0.50610   0.53820     0.475     0.950
            Ta     0.35870   0.50610   0.53820     0.315     0.950
            Ti     0.35870   0.50610   0.53820     0.210     0.950
            O      0.28750   0.43900   0.87220     1.000     1.090
            O      0.52510   0.45830   0.73000     1.000     1.020
            O      0.62230   0.25000   0.33450     1.000     1.070
            O      0.35450   0.25000   0.44850     1.000     1.050

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 10 +/-  6 +/-  4
            MAX. ABS. INTENSITY / VOLUME**2:      67.08832612    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                18.32         42.51        4.8419    1   0   1
                19.79          3.68        4.4869    2   1   0
                20.25          1.75        4.3846    0   1   1
                21.78          4.66        4.0798    1   1   1
                22.99          8.86        3.8679    2   0   1
                23.49         44.90        3.7880    0   2   0
                28.50         14.51        3.1320    2   2   0
                29.23         91.62        3.0549    3   0   1
                29.95        100.00        2.9835    1   2   1
                31.58          5.17        2.8332    3   1   1
                32.15         15.83        2.7843    4   0   0
                33.10          5.71        2.7063    2   2   1
                33.33         29.29        2.6883    0   0   2
                34.31          1.44        2.6134    4   1   0
                34.32          3.38        2.6132    1   0   2
                36.34          4.33        2.4724    4   0   1
                37.83         21.16        2.3779    3   2   1
                39.06          2.87        2.3061    2   1   2
                39.17          1.94        2.2999    2   3   0
                39.42          3.58        2.2858    0   3   1
                40.20         18.89        2.2434    4   2   0
                40.28          1.06        2.2391    1   3   1
                41.18          7.22        2.1923    0   2   2
                41.47          5.57        2.1774    3   0   2
                42.00          2.54        2.1510    1   2   2
                43.23          2.74        2.0926    3   1   2
                43.72          1.52        2.0704    4   2   1
                44.00          4.60        2.0578    5   0   1
                44.41         11.53        2.0399    2   2   2
                45.69          3.86        1.9859    5   1   1
                46.67          1.85        1.9464    3   3   1
                46.98         13.57        1.9339    4   0   2
                48.04         20.62        1.8940    0   4   0
                48.59          2.02        1.8739    4   1   2
                48.68          1.88        1.8705    4   3   0
                49.08          3.74        1.8562    6   0   0
                50.47          1.58        1.8082    5   2   1
                50.63          2.00        1.8028    6   1   0
                51.83          4.88        1.7639    1   4   1
                52.13          1.44        1.7546    6   0   1
                52.35          2.31        1.7476    2   3   2
                52.47          1.02        1.7441    0   1   3
                53.18         27.15        1.7224    4   2   2
                53.42          1.94        1.7152    5   0   2
                53.73          4.29        1.7060    2   0   3
                53.90          1.15        1.7010    2   4   1
                55.10          4.44        1.6668    6   2   0
                57.06          8.65        1.6140    3   0   3
                57.23         25.84        1.6097    3   4   1
                57.49          9.50        1.6032    1   2   3
                57.80          2.90        1.5952    5   3   1
                58.98          6.71        1.5660    4   4   0
                59.13          7.44        1.5625    5   2   2
                59.42         13.27        1.5555    2   2   3
                59.72         10.83        1.5483    0   4   2
                60.36          2.71        1.5336    1   4   2
                60.62          1.88        1.5274    6   0   2
                60.71         12.92        1.5256    7   0   1
                61.54          1.36        1.5070    4   0   3
                62.56          5.72        1.4848    3   2   3
                64.43          1.01        1.4460    1   5   1
                65.30          1.44        1.4290    3   4   2
                65.94          2.53        1.4166    6   2   2
                66.02          9.78        1.4151    7   2   1
                67.17          1.42        1.3936    5   4   1
                67.25          1.11        1.3921    8   0   0
                69.46          6.09        1.3532    4   4   2
                69.99          1.32        1.3441    0   0   4
                70.58          2.14        1.3345    1   0   4
                71.12          1.90        1.3257    6   4   0
                72.31          2.82        1.3067    8   2   0
                73.44          1.37        1.2893    6   0   3
                74.91          2.29        1.2676    2   4   3
                75.18          1.10        1.2639    3   0   4
                75.54          3.54        1.2586    1   2   4
                77.74          4.99        1.2284    3   4   3
                78.23          1.13        1.2220    5   3   3
                78.24          4.99        1.2218    1   6   1
                80.77          1.79        1.1898    7   0   3
                80.84          1.63        1.1890    6   4   2
                80.91          8.38        1.1881    7   4   1
                81.99          3.39        1.1752    8   2   2
                82.70          2.49        1.1669    3   6   1
                83.92          2.11        1.1530    4   2   4
                84.20          2.82        1.1499    4   6   0
                84.84          1.09        1.1429    0   6   2
                85.55          2.20        1.1351    7   2   3
                86.83          1.00        1.1217    8   4   0
                87.61          1.58        1.1137   10   0   0
                88.87          5.79        1.1011    5   2   4
                89.38          1.44        1.0962    0   4   4
                89.93          2.02        1.0909    1   4   4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
